,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Azerbaijan,1005,0,3,10,0,252,15,12,0,0,23,8,0,0,7,16,5,0,6,7,,0,19,28,18,11,0,9,0,,9,,24,0,255,17,0,13,0,10,27,0,0,0,0,5,35,0,0,7,9,23,110,0,3,0,4
Bahamas,569,8,,,0,6,,5,0,5,367,29,0,,0,5,,0,0,,,0,13,6,,,0,0,0,,,0,6,0,21,20,0,0,,0,9,0,,,0,5,17,0,0,0,0,11,6,0,,0,9
Bahrain,91,,,3,0,6,3,0,0,0,6,5,0,,0,6,,,0,0,,0,,,,0,0,,0,0,,0,3,0,9,5,0,3,3,0,4,0,0,0,0,0,11,0,0,,0,4,3,0,,0,1
Bangladesh,6644,16,0,69,8,544,19,129,19,14,377,151,0,0,0,59,21,7,35,13,12,4,148,113,274,85,,22,0,3,30,,375,,2995,66,3,43,24,14,175,0,4,6,0,20,343,,,,4,313,29,,12,0,34
Barbados,878,0,0,3,0,17,,15,3,,118,28,0,0,0,9,,0,,,,0,22,60,,,,,0,0,,,39,0,423,19,0,3,,0,34,0,0,6,0,5,15,5,,0,0,23,3,0,,0,7
Belarus,1583,,,13,,220,35,42,,3,68,18,,0,3,85,7,,,4,,3,28,69,17,67,0,20,6,3,7,4,62,,378,26,0,26,3,20,77,0,3,14,0,11,24,,0,,,41,137,0,17,0,4
Belgium,673,,,22,,116,10,10,,5,66,19,0,4,,15,,,3,,11,,26,23,9,10,4,9,0,,11,,27,3,70,31,0,17,3,4,13,0,,8,0,8,33,0,0,,,35,23,,,0,5
Belize,854,,,7,,346,4,3,,,72,18,3,3,,58,3,,,,6,0,4,8,,,4,4,0,0,13,0,24,4,139,13,0,,,0,5,0,0,,0,3,61,,0,4,0,13,7,0,0,0,3
Benin,119,,0,,0,,4,,,0,5,5,0,,,6,6,0,,0,0,0,12,6,,9,0,0,0,,0,,3,0,11,6,0,3,0,0,9,0,,0,0,,,,0,0,,7,,0,0,0,3
Bermuda,80,,0,,0,9,0,4,,,12,7,0,0,0,,0,0,0,0,0,0,,4,0,,0,0,0,0,,0,,0,6,8,0,,0,0,,0,,4,0,,,0,0,0,0,6,0,0,0,0,0
Bhutan,17,0,0,0,0,8,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
Bolivia,1700,,3,9,,213,6,7,,14,211,8,0,0,,20,5,0,,0,0,0,118,27,3,5,3,6,,,12,,56,8,131,31,,5,,5,8,0,37,8,,3,83,3,0,14,0,584,10,0,10,,17
Bosnia-Herzegovina,4544,7,7,170,0,157,63,80,,,314,215,0,,80,319,74,221,14,175,25,16,26,54,236,76,3,448,0,26,75,63,53,0,329,116,33,117,3,44,138,0,3,11,9,52,114,,0,85,40,123,194,,82,0,46
Botswana,17,0,0,0,0,0,,0,0,,,0,,0,0,0,0,0,,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,,0,0
Brazil,7960,11,7,65,4,995,47,260,4,28,1844,208,,40,10,105,32,20,18,21,23,18,160,1336,57,38,12,17,,7,60,70,553,9,568,162,,53,18,30,103,3,37,44,3,44,337,6,,79,,186,112,7,17,3,61
British Virgin Islands,43,0,0,0,0,,0,,0,,6,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,6,,0,0,,0,0,0,0,0,0,0,0,0,17,0,0,,,0,0,0,1
Brunei,14,0,0,,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0,0,0,1
Bulgaria,3211,4,,43,6,461,63,57,13,9,274,130,0,12,3,582,21,7,14,27,8,10,52,106,51,30,,32,4,3,141,6,100,9,307,39,0,28,12,23,89,,,28,,13,94,,0,17,0,102,125,,24,,22
Burkina Faso,90,0,0,,0,5,,0,0,3,0,3,,0,0,,0,4,0,,0,0,8,,,0,0,0,0,0,0,0,8,,12,,,5,0,0,9,0,,0,0,,3,0,0,0,0,3,6,0,,0,3
Burma,1447,,,14,3,578,,4,,,55,20,,7,,25,41,,4,5,,,56,17,9,26,0,5,0,6,14,3,31,,280,42,,10,,9,23,0,0,7,0,5,42,0,,3,0,44,31,,3,0,5
Burundi,90,0,0,4,0,7,3,,0,0,6,,0,0,0,3,0,4,,4,0,,4,,,0,,0,0,0,0,0,,,5,6,0,3,0,,3,0,0,,0,3,17,0,0,0,,,,0,0,0,0
Cambodia,4673,26,,40,5,1648,40,58,,0,86,80,,11,5,49,16,14,20,28,13,13,39,565,31,170,10,20,,6,21,18,23,0,61,122,,66,4,57,300,0,68,45,,23,237,0,0,25,,118,420,0,28,,33
Cameroon,1098,3,,9,3,78,5,10,20,9,12,87,,,,35,4,0,7,15,6,,291,53,15,38,0,8,0,,7,0,29,3,41,27,,27,8,,21,0,,,0,8,107,3,0,4,,52,9,3,3,0,23
Canada,9753,48,31,322,16,1503,183,212,17,46,1199,238,,44,66,208,82,45,46,55,41,58,132,252,372,138,24,72,37,19,122,100,200,48,578,498,19,167,30,115,227,,27,122,11,120,598,3,5,78,55,262,684,7,89,9,69
Cape Verde,903,0,0,,0,5,0,25,0,0,16,,0,0,0,0,0,0,0,0,0,0,,622,0,0,0,0,0,0,0,0,7,0,5,0,0,,0,0,3,0,186,0,0,0,3,0,0,,0,5,0,0,0,0,19
Cayman Islands,22,0,0,0,0,,0,,0,0,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0
Central African Republic,22,0,0,0,0,0,,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,1
Chad,27,0,0,,0,,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,3,0,0,,0,0,0,,0,0,,0,6,,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,,0,0,,0,0
Chile,1585,3,,12,3,278,15,34,5,17,368,27,,6,5,27,7,,6,4,7,,47,45,5,19,0,6,0,,20,,98,5,182,38,0,5,0,12,24,7,3,11,,10,79,0,0,33,,56,30,0,5,,8
China,37130,84,22,297,62,12048,235,463,89,63,746,448,33,279,60,1205,205,70,110,84,115,36,750,1579,482,312,52,249,10,37,353,64,1357,66,8210,599,11,441,72,384,1090,29,50,113,18,152,1536,13,6,88,19,806,1007,20,192,7,202
Colombia,16593,32,15,98,15,977,75,388,19,41,6238,421,3,22,13,239,36,26,31,26,57,5,187,437,51,59,19,33,3,21,109,46,1669,33,2377,432,,66,25,15,303,76,133,207,3,56,793,9,3,45,4,312,101,3,34,,149
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo DR,349,,0,9,,13,16,,0,,14,25,0,0,0,20,4,0,,7,,0,28,7,6,7,,4,0,0,,,6,,17,44,0,5,3,,5,0,0,0,8,,48,,0,3,3,17,9,0,,0,1
Congo R,308,0,0,19,0,26,8,7,0,,8,19,0,0,,3,6,,0,,0,6,31,10,8,3,0,3,0,,3,,10,,17,26,0,4,,0,3,0,,,0,4,43,0,0,,7,11,4,,0,0,1
Costa Rica,1517,4,3,16,8,231,10,36,3,5,342,42,0,,,21,11,,4,4,16,5,27,36,6,12,,6,,,23,5,163,3,126,79,0,8,3,12,26,14,,20,0,6,94,,0,4,0,40,17,,4,,9
Cote d'Ivoire,589,,,3,0,35,12,7,,6,19,38,0,3,0,14,7,,,,,,68,21,7,19,0,,,0,,,30,,117,33,0,5,,0,23,0,4,5,0,6,25,0,0,,0,40,12,0,4,0,7
Croatia,718,,0,23,0,74,3,5,5,3,85,22,0,0,8,24,32,13,,10,,5,15,13,9,5,0,20,0,0,20,5,31,,87,13,,51,0,,13,0,0,,7,5,33,0,0,9,3,24,9,0,22,0,3
Cuba,24891,21,3,52,7,403,10,37,7,10,21310,129,,4,3,77,7,4,7,205,77,,27,38,67,14,11,35,,11,264,4,535,45,308,135,0,23,7,36,67,108,4,35,,54,252,6,,16,0,52,25,,8,,322
Cyprus,160,0,,,0,19,,5,0,0,13,5,,0,0,6,,0,0,0,0,0,3,0,,0,0,,,0,,0,8,0,51,6,0,4,0,,,0,0,0,0,0,10,0,0,0,0,14,,0,0,0,0
Czech Republic,266,,,5,0,31,14,0,0,3,56,6,0,,,21,,,,,0,,5,8,,,,,,3,9,3,7,3,10,4,0,4,,,3,0,,3,0,4,,,0,,0,17,10,0,3,0,3
Czechoslovakia,503,3,,10,,93,9,6,,3,58,8,0,0,4,32,,,,3,,,14,15,9,4,,5,,0,6,4,22,3,55,17,0,8,0,3,15,0,0,7,0,3,18,0,0,4,0,18,23,0,,0,5
Denmark,156,0,,5,0,40,3,,,,14,6,0,,0,,,0,0,0,,,,4,,4,0,,0,0,,,5,0,18,6,0,0,,4,3,0,0,5,,,7,0,0,0,,,7,0,3,0,0
Djibouti,19,0,0,,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,0,0,0,0,,,0,0,,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0
Dominica,672,5,4,,,14,3,13,,3,111,32,0,0,0,,,0,0,0,,0,16,20,5,,0,,0,0,0,0,45,0,164,7,0,,0,0,11,,4,,0,,44,3,98,0,0,14,,0,0,0,37
Dominican Republic,20778,4,25,29,6,91,15,381,32,73,2410,122,4,16,,52,34,6,6,20,58,10,185,2036,78,16,10,8,,0,26,63,2733,7,8914,260,,74,4,,964,689,532,39,,28,119,10,131,18,0,157,30,,38,0,206
East Timor,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,7609,10,6,28,3,462,17,280,6,18,1146,63,3,14,11,191,7,12,10,8,24,,101,84,14,76,,8,,9,37,10,1244,11,2838,214,4,27,7,10,120,24,9,29,,19,134,4,,25,,115,32,0,4,,70
Egypt,5224,13,,37,8,937,12,72,8,11,310,48,0,3,,109,33,14,8,10,28,3,78,159,91,73,6,26,0,7,29,17,809,8,860,154,0,96,11,33,207,,14,45,0,201,209,,0,4,4,255,80,6,20,0,51
El Salvador,18927,7,12,122,161,7879,80,61,19,262,643,242,,16,13,132,68,53,71,19,53,11,1154,485,18,72,13,36,,39,347,11,482,22,1816,450,,24,30,58,74,10,27,37,8,59,1863,7,0,58,0,1497,139,10,13,0,139
Equatorial Guinea,6,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Eritrea,760,,0,10,0,132,11,3,0,21,12,40,0,,0,22,9,,3,3,4,0,45,17,6,37,0,12,0,3,21,0,13,0,7,27,0,27,,16,15,0,,,,7,46,,0,0,0,77,97,,,0,5
Estonia,209,0,3,,0,31,6,3,0,0,24,,0,,0,4,,6,0,,0,,5,5,,,,,,,3,0,9,0,29,8,0,3,0,,6,0,0,,5,,3,,0,0,0,8,22,0,,0,1
Ethiopia,8698,8,5,71,3,949,319,19,6,342,97,539,0,4,6,138,45,10,68,26,23,7,749,203,64,945,,90,0,20,429,,54,9,141,154,,200,17,94,117,0,0,9,63,199,618,,0,8,,1007,711,10,24,0,70
Fiji,998,0,3,7,0,756,3,3,0,0,10,4,0,5,,,0,0,,0,,0,,,,,0,,0,0,7,0,,,3,7,0,,0,30,,0,0,,0,0,12,0,0,3,0,12,110,0,,0,4
Finland,385,,3,9,0,60,6,7,0,7,63,10,,3,,6,,4,0,0,0,,11,13,7,7,,,,0,,3,14,0,31,17,0,5,,4,6,0,,6,0,,21,0,0,3,0,16,20,,3,0,5
France,2464,3,,32,,628,36,54,5,31,258,60,,13,5,65,17,7,6,8,9,0,70,93,19,32,,9,,3,22,4,101,13,268,58,0,29,3,19,61,,7,26,,18,125,3,,14,8,91,83,,16,,17
French Guiana,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,12,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1
Gabon,35,,0,0,0,,0,0,0,0,,3,0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,9,,0,,0,0,,0,0,0,0,0,3,0,0,,0,,,0,0,0,1
Gambia,419,3,7,4,0,14,,3,,3,7,43,0,,,,0,0,8,8,,0,49,7,15,21,,3,0,,,0,4,3,40,27,0,18,,,9,0,3,0,0,7,16,0,0,,0,18,48,0,11,0,3
Georgia,864,,0,3,,164,11,18,,4,24,19,0,0,0,22,,,0,3,3,,10,14,,6,0,5,0,,7,,87,0,306,7,0,17,,6,29,0,,,0,4,17,,0,3,0,16,36,0,3,0,3
Germany,4564,37,23,98,8,752,117,84,5,17,442,136,,39,24,145,47,11,30,36,33,10,127,100,124,47,9,39,14,6,47,18,144,46,309,176,4,72,41,51,138,5,5,76,5,49,293,4,,28,9,186,183,11,39,6,56
Ghana,4819,5,3,22,6,169,76,124,45,15,64,243,0,5,0,153,13,7,9,31,8,3,436,344,29,76,,16,0,,16,6,379,,941,181,,232,17,7,152,0,26,14,0,31,199,5,0,10,,558,44,6,16,0,69
Gibraltar,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,1067,3,0,15,0,118,6,49,5,6,87,14,0,,0,61,14,0,3,3,5,,37,75,13,3,,4,0,,,9,72,0,273,22,0,16,5,,46,,4,13,,4,17,0,0,0,,25,10,0,6,0,12
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,683,0,0,,0,11,,4,,,40,18,0,,0,,0,0,0,,,0,29,13,,0,,0,0,0,,0,20,,452,15,,3,0,0,7,0,,,0,,26,,6,0,,12,0,0,0,0,3
Guadeloupe,34,0,0,0,0,3,0,0,0,0,16,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0
Guatemala,8619,18,5,100,32,3924,41,126,11,28,560,118,0,10,15,284,43,36,22,12,65,,208,286,30,28,5,8,0,56,130,3,288,22,585,143,0,18,27,49,60,4,168,27,13,44,453,6,0,54,,294,64,,15,,74
Guinea,304,0,0,,,11,5,,0,,11,19,0,0,0,4,6,,,,3,0,28,21,5,4,0,3,0,0,,,7,0,52,16,0,25,0,3,27,0,5,0,0,,12,0,,0,0,14,8,0,,0,2
Guinea-Bissau,17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,4,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,,0,1
Guyana,6840,4,0,10,,77,6,130,21,24,711,154,,6,,9,6,4,7,,9,,201,37,9,68,4,7,0,3,,,400,6,4516,71,0,17,,,101,,,19,0,7,43,,10,,0,65,11,,5,0,42
Haiti,13290,7,,19,,73,10,316,54,14,6333,274,5,9,3,64,12,,6,22,34,4,143,1223,21,5,4,23,,,11,10,785,,2885,103,4,25,5,7,303,3,48,21,0,29,57,16,10,0,3,76,24,,3,0,174
Honduras,4858,18,4,30,16,642,25,44,7,12,1131,75,,9,4,79,36,13,16,8,308,,89,130,9,27,29,32,3,13,34,9,259,8,590,190,,23,19,8,46,10,6,33,3,34,432,3,0,17,,193,43,,22,,58
Hong Kong,3329,6,,34,3,1431,17,35,6,5,82,28,,39,5,85,8,5,10,,4,,60,132,21,19,4,12,0,,48,,84,6,589,43,0,38,3,14,49,,4,12,0,6,143,,0,7,0,49,149,,9,,11
Hungary,1142,4,,16,,236,14,25,0,4,198,13,0,8,,34,4,5,,,,0,21,24,15,13,,8,,,36,4,57,,159,23,0,36,,7,27,0,,8,,17,35,0,,,0,33,27,4,0,0,6
Iceland,75,,0,,0,15,3,,0,0,6,,0,0,0,0,0,0,0,0,,,3,,,0,0,,0,0,0,0,0,,7,,0,,0,,3,0,0,,3,0,,0,0,0,0,7,4,0,3,,0
India,52889,193,9,583,131,10631,279,993,268,41,1876,1544,5,11,53,3078,495,196,279,244,214,32,1389,1336,1537,613,140,399,5,83,168,170,5551,67,4099,1850,12,1185,150,235,2369,,54,395,12,501,4274,4,20,75,31,2782,1523,32,388,,281
Indonesia,1794,,4,31,,909,23,14,,3,50,32,,12,12,38,8,5,7,4,12,,33,14,10,10,3,7,,4,23,13,40,4,91,21,,15,5,15,45,0,,8,,12,88,,0,4,0,41,87,,10,0,11
Iran,12069,39,4,202,23,6312,96,46,10,25,335,238,0,14,12,222,40,13,56,46,18,6,451,155,94,72,8,89,5,16,112,5,155,26,529,143,0,94,46,100,91,,10,17,,141,783,0,0,55,0,667,321,16,26,,81
Iraq,4197,6,0,273,,731,30,44,,6,79,85,0,,8,227,18,10,13,52,18,,18,57,892,47,,107,,90,19,15,40,16,126,25,6,53,11,38,82,0,6,11,4,301,238,0,,25,0,195,90,0,15,0,61
Ireland,1296,,6,14,,209,11,35,6,4,93,24,0,,,69,8,3,,11,3,4,23,118,13,6,,6,0,,7,14,62,4,298,30,,14,0,4,33,0,4,13,0,7,44,,,,,26,36,3,4,0,9
Israel,3410,8,7,37,4,901,12,20,,12,385,48,0,,,91,20,5,8,11,20,,69,111,33,19,4,21,,3,57,5,179,5,774,55,0,73,8,11,85,,,18,,17,113,,,,,51,45,,22,,24
Italy,2552,7,0,39,5,434,18,83,10,12,240,29,3,9,4,90,10,,6,5,,3,60,113,48,14,3,11,,,9,9,209,4,564,47,,26,4,10,117,6,10,12,0,13,68,3,0,7,3,78,47,7,10,0,27
Jamaica,15098,26,7,31,,284,25,798,70,62,4256,742,8,29,3,137,25,6,18,13,14,4,484,346,64,29,24,27,0,5,16,13,823,6,5009,232,,81,8,5,504,0,13,57,,31,232,18,8,10,4,245,47,11,27,0,157
Japan,2192,7,,38,4,859,28,18,5,11,68,41,15,161,5,51,13,3,7,6,6,,28,37,24,9,3,9,3,,46,3,57,8,234,32,0,17,5,18,21,0,0,14,0,7,58,5,,14,0,63,97,0,5,0,23
Jordan,2891,19,,49,9,502,16,19,3,9,187,38,0,3,,304,32,9,27,23,79,,28,37,110,24,10,43,0,5,11,,167,4,180,102,0,128,10,16,90,10,,17,,41,297,0,4,4,0,109,26,5,35,,41
Kazakhstan,917,4,8,13,3,120,15,8,0,,32,12,0,0,0,26,10,0,9,3,,,14,45,13,14,,,,,8,4,30,3,191,14,0,11,,29,43,0,,9,,9,32,0,0,,,41,112,,10,0,3
Kenya,2546,30,,40,5,232,9,13,40,6,112,124,,6,7,50,30,21,72,7,4,0,175,152,29,191,3,54,0,9,13,21,118,7,67,141,3,45,17,13,80,0,4,15,,20,321,3,0,5,8,83,102,,6,0,27
Kiribati,5,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Korea,28,0,,0,0,16,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Korea,17576,33,79,166,25,6423,283,86,44,15,250,663,68,262,14,548,67,36,47,38,42,6,648,166,159,58,18,53,3,6,137,22,1100,16,1712,329,5,98,39,130,423,0,9,59,,106,748,31,,41,3,1148,947,4,28,3,129
Kosovo,397,3,0,6,0,14,3,18,0,3,25,14,0,0,,13,0,4,0,19,0,0,5,18,20,,,7,0,,6,0,13,,105,5,0,0,3,,17,0,0,,0,8,31,0,0,5,,6,4,,8,0,1
Kuwait,1152,15,,20,,178,8,,5,0,82,22,0,,,80,25,15,15,9,22,0,23,12,51,15,5,15,0,0,10,,45,5,44,38,0,42,6,11,21,4,,6,0,26,164,0,0,5,0,54,23,,14,0,8
Kyrgyzstan,338,,,3,,38,6,0,,,19,6,0,3,,7,,,,,0,0,11,8,5,11,,5,0,,4,,6,0,55,4,0,7,0,21,3,0,,,0,4,10,,0,3,,12,59,0,0,0,6
