Subject	Asia	Europe	Latin America	Africa	Northern America	Oceania	Total
Foreign-born population	11562022	4889987	21245344	1664414	794779	221211	40377860
CITIZENSHIP AND PERIOD OF ENTRY							
Naturalized citizen	58.00%	63.40%	33.40%	48.00%	45.20%	34.90%	44.90%
Entered 2000 or later	8.20%	6.30%	3.70%	14.40%	2.80%	4.70%	5.70%
Entered 1990 to 1999	17.90%	16.70%	7.60%	16.90%	7.70%	9.20%	12.00%
Entered before 1990	32.00%	40.40%	22.10%	16.70%	34.60%	20.90%	27.20%
							
Not a citizen	42.00%	36.60%	66.60%	52.00%	54.80%	65.10%	55.10%
Entered 2000 or later	30.50%	18.60%	31.70%	39.50%	25.10%	38.40%	30.00%
Entered 1990 to 1999	7.20%	8.20%	20.80%	8.80%	11.70%	14.50%	14.70%
Entered before 1990	4.30%	9.90%	14.10%	3.70%	18.10%	12.20%	10.40%
							
SCHOOL ENROLLMENT							
Population 3 years and over enrolled in school	2002274	596161	2558999	454113	108139	32311	5751997
Nursery school, preschool	1.80%	1.70%	0.90%	1.10%	1.60%	3.20%	1.30%
Elementary school (grades K-8)	20.40%	21.50%	28.60%	18.90%	21.50%	35.60%	24.20%
High school (grades 9-12)	14.60%	17.70%	28.40%	16.50%	16.10%	18.00%	21.30%
College or graduate school	63.10%	59.00%	42.10%	63.50%	60.80%	43.20%	53.20%
							
EDUCATIONAL ATTAINMENT							
Population 25 years and over	9908376	4373929	17881475	1340821	698901	179726	34383331
Less than high school graduate	16.60%	14.40%	46.30%	12.30%	9.60%	15.70%	31.50%
High school graduate (includes equivalency)	16.50%	24.50%	25.70%	18.70%	19.80%	26.20%	22.50%
Some college or associate's degree	18.60%	23.40%	16.60%	28.00%	27.70%	26.40%	18.80%
Bachelor's degree	27.70%	19.10%	7.70%	24.50%	24.00%	19.10%	16.00%
Graduate or professional degree	20.60%	18.70%	3.60%	16.50%	18.90%	12.70%	11.30%
							
EMPLOYMENT STATUS							
Population 16 years and over	10937820	4695835	20189020	1537607	759382	203237	38323004
In labor force	65.30%	57.70%	70.20%	75.00%	56.80%	68.40%	67.20%
Civilian labor force	65.10%	57.60%	70.10%	74.80%	56.70%	68.00%	67.10%
Employed	60.10%	53.00%	62.70%	66.60%	53.00%	60.40%	60.70%
Unemployed	5.00%	4.60%	7.50%	8.30%	3.60%	7.60%	6.40%
Percent of civilian labor force	7.70%	7.90%	10.70%	11.10%	6.40%	11.10%	9.50%
Armed Forces	0.20%	0.10%	0.10%	0.20%	0.20%	0.40%	0.10%
Not in labor force	34.70%	42.30%	29.80%	25.00%	43.20%	31.60%	32.80%
							
OCCUPATION							
Management, business, science, and arts occupations	47.60%	45.00%	14.20%	37.50%	57.70%	38.60%	28.80%
Service occupations	18.00%	17.00%	31.70%	25.20%	9.80%	22.90%	25.50%
Sales and office occupations	20.60%	19.70%	15.20%	18.90%	21.70%	20.20%	17.50%
Natural resources, construction, and maintenance occupations	3.40%	8.10%	19.60%	3.40%	5.00%	6.60%	12.80%
Production, transportation, and material moving occupations	10.50%	10.30%	19.30%	15.00%	5.90%	11.70%	15.40%
							
EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS							
Population 16 years and over with earnings	4768911	1759814	8680068	689141	289263	86174	16273371
$1 to $9,999 or loss	2.10%	1.50%	3.20%	2.10%	1.40%	2.40%	2.60%
$10,000 to $14,999	4.30%	2.80%	10.10%	4.60%	1.80%	4.90%	7.20%
$15,000 to $24,999	14.80%	10.60%	31.50%	17.60%	7.10%	16.90%	23.20%
$25,000 to $34,999	13.50%	14.00%	21.00%	18.00%	10.20%	14.20%	17.70%
$35,000 to $49,999	16.00%	17.90%	16.60%	18.90%	14.80%	17.20%	16.60%
$50,000 to $74,999	19.40%	21.40%	11.00%	19.00%	22.60%	18.30%	15.20%
$75,000 or more	29.90%	31.80%	6.60%	19.70%	42.00%	26.10%	17.40%
							
POVERTY STATUS IN THE PAST 12 MONTHS							
Population for whom poverty status is determined	11394565	4809854	20967274	1634828	775838	216774	39799176
Below 100 percent of the poverty level	14.40%	10.60%	24.70%	20.90%	10.00%	16.20%	19.60%
100 to 199 percent of the poverty level	17.00%	16.00%	31.90%	22.00%	11.70%	18.40%	24.80%
At or above 200 percent of the poverty level	68.50%	73.40%	43.40%	57.10%	78.30%	65.40%	55.60%
							
Occupied housing units	4480483	2348479	8115695	729525	394683	82603	16151468
HOUSING TENURE							
Owner-occupied housing units	56.20%	66.20%	44.80%	39.90%	70.80%	48.30%	51.50%
Renter-occupied housing units	43.80%	33.80%	55.20%	60.10%	29.20%	51.70%	48.50%
							
Average household size of owner-occupied unit	3.53	2.56	4.07	3.59	2.45	3.44	3.55
Average household size of renter-occupied unit	2.78	2.09	3.69	2.82	1.95	3.34	3.23
							
SELECTED CHARACTERISTICS							
Linguistically isolated households	27.70%	18.60%	34.30%	17.00%	2.60%	9.60%	28.50%
