Subject	Asia	Europe	Latin America	Africa	Northern America	Oceania	Total
Foreign-born population	12750422	4764822	21890416	1931203	812642	241200	42391794
CITIZENSHIP AND PERIOD OF ENTRY							
Naturalized citizen	58.50%	64.10%	36.40%	52.90%	47.00%	38.00%	47.10%
Entered 2010 or later	1.10%	0.50%	0.60%	1.70%	0.60%	0.60%	0.80%
Entered 2000 to 2009	11.20%	8.60%	5.50%	19.70%	4.20%	7.60%	8.20%
Entered before 2000	46.20%	54.90%	30.40%	31.50%	42.20%	29.80%	38.10%
							
Not a citizen	41.50%	35.90%	63.60%	47.10%	53.00%	62.00%	52.90%
Entered 2010 or later	16.80%	9.50%	8.10%	19.40%	12.50%	18.20%	11.50%
Entered 2000 to 2009	16.10%	11.30%	25.20%	19.10%	14.40%	23.90%	20.40%
Entered before 2000	8.50%	15.10%	30.30%	8.60%	26.10%	19.90%	20.90%
							
SCHOOL ENROLLMENT							
Population 3 years and over enrolled in school	2092371	517497	2391842	483665	92127	37685	5615187
Nursery school, preschool	1.90%	2.00%	1.00%	1.60%	2.30%	3.10%	1.50%
Elementary school (grades K-8)	21.50%	21.10%	23.90%	20.90%	23.30%	31.30%	22.50%
High school (grades 9-12)	14.50%	18.10%	29.90%	15.40%	16.30%	19.40%	21.50%
College or graduate school	62.10%	58.70%	45.20%	62.10%	58.10%	46.20%	54.40%
							
EDUCATIONAL ATTAINMENT							
Population 25 years and over	10982592	4302760	18961854	1569843	726778	200639	36745555
Less than high school graduate	15.40%	12.90%	44.60%	12.10%	8.70%	13.90%	29.90%
High school graduate (includes equivalency)	16.60%	23.80%	26.20%	19.90%	18.90%	26.20%	22.70%
Some college or associate's degree	18.30%	23.10%	17.20%	27.80%	28.00%	27.90%	18.90%
Bachelor's degree	28.00%	20.20%	8.10%	23.60%	24.60%	19.60%	16.50%
Graduate or professional degree	21.70%	20.00%	3.90%	16.60%	19.70%	12.50%	12.00%
							
EMPLOYMENT STATUS							
Population 16 years and over	12064684	4600790	20995915	1774047	778910	224330	40439765
In labor force	63.70%	57.50%	69.40%	73.50%	56.20%	67.80%	66.30%
Civilian labor force	63.60%	57.30%	69.30%	73.20%	56.10%	67.30%	66.10%
Employed	60.10%	54.40%	64.50%	67.10%	53.60%	62.30%	61.90%
Unemployed	3.50%	2.90%	4.80%	6.10%	2.50%	5.00%	4.20%
Percent of civilian labor force	5.50%	5.10%	6.90%	8.40%	4.40%	7.50%	6.40%
Armed Forces	0.20%	0.10%	0.10%	0.30%	0.20%	0.50%	0.10%
Not in labor force	36.30%	42.50%	30.60%	26.50%	43.80%	32.20%	33.70%
							
OCCUPATION							
Management, business, science, and arts occupations	49.30%	47.60%	15.20%	38.50%	60.20%	42.80%	30.30%
Service occupations	17.60%	15.80%	30.50%	24.30%	9.60%	20.70%	24.60%
Sales and office occupations	19.30%	19.10%	15.10%	17.70%	20.60%	18.00%	17.00%
Natural resources, construction, and maintenance occupations	3.20%	7.70%	20.30%	3.30%	4.50%	5.50%	12.90%
Production, transportation, and material moving occupations	10.70%	9.80%	18.90%	16.10%	5.00%	12.90%	15.20%
							
EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS							
Population 16 years and over with earnings	5244542	1780585	9599190	812682	294316	100665	17832681
$1 to $9,999 or loss	1.90%	1.40%	2.90%	2.20%	0.80%	2.20%	2.40%
$10,000 to $14,999	3.80%	2.30%	8.30%	4.20%	1.80%	4.60%	6.10%
$15,000 to $24,999	13.00%	9.00%	29.10%	16.90%	6.90%	15.10%	21.40%
$25,000 to $34,999	12.80%	12.90%	21.80%	17.90%	9.50%	13.70%	17.80%
$35,000 to $49,999	15.10%	17.80%	17.90%	18.90%	13.90%	16.50%	17.00%
$50,000 to $74,999	19.30%	21.80%	12.20%	19.20%	21.20%	15.90%	15.70%
$75,000 or more	34.20%	34.90%	7.90%	20.70%	45.90%	32.00%	19.70%
							
POVERTY STATUS IN THE PAST 12 MONTHS							
Population for whom poverty status is determined	12567892	4685633	21620220	1901511	797969	235942	41810189
Below 100 percent of the poverty level	14.60%	10.30%	22.60%	21.40%	10.30%	15.30%	18.50%
100 to 199 percent of the poverty level	16.50%	14.70%	31.00%	21.30%	11.70%	20.40%	23.90%
At or above 200 percent of the poverty level	68.90%	75.00%	46.40%	57.30%	78.00%	64.30%	57.60%
							
Occupied housing units	4956395	2300372	8598281	819256	401966	92706	17169490
HOUSING TENURE							
Owner-occupied housing units	56.10%	65.90%	43.80%	37.30%	70.80%	50.70%	50.70%
Renter-occupied housing units	43.90%	34.10%	56.20%	62.70%	29.20%	49.30%	49.30%
							
Average household size of owner-occupied unit	3.45	2.54	4.01	3.73	2.41	3.11	3.51
Average household size of renter-occupied unit	2.8	2.12	3.64	2.96	2.07	3.32	3.22
							
SELECTED CHARACTERISTICS							
"Households with no one age 14 and over who speaks English only or speaks English ""very well"""	26.40%	17.50%	32.20%	16.90%	2.10%	9.90%	27.00%
