Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Samoa	290	0	12	3	0	87			0	0	5		81	0		0	0					3		0	0	0	5	0	0	6				0	0	0	0	0	8	0	0	0	0	0	3	0	0	35	0		24	0	0	
Sao Tome and Principe	7	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0
Saudi Arabia	1171	6	0	13	3	173	19	5	3		87	24			83	10	6	4	3	8		18	21	58	27		11	0	5	5	0	62		112	29	0	38	20	8	49	3	8	0	10	115	0	0	5	0	83	18		8	0
Senegal	1024	9	0	4		46	9	10	0	18	24	48	0		30	18		4	16	4	0	75	30	43	4		8	0		5	3	48	0	232	38	0	109	3	5	25	18	3	0	19	52	0			4	33	15	0	4	0
Serbia and Montenegro	3586	7		57		254	22	109	6	11	149	80	6	11	317	25	12	8	16		4	36	58	275	16	4	46		4	26	9	171	6	1253	35	13	71	7	8	91	4	8	6	14	106	0		17	6	79	54	0	60	
Seychelles	7	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0	0
Sierra Leone	1999		0	14	0	118	10	7	10	20	30	80	0		38	12	7	3		0	0	339	70	16	44		22	0			7	150		323	43	4	85	4	5	153	9		0	17	91	0	0		0	213	31		8	0
Singapore	985	0	0	14		342	14	27	0		21	26	15		27	6			3	0		13	24	19	21		3			8		37	4	93	11	0	14	5	22	22	3	0	0	3	82	0		12	0	21	46		8	0
Slovak Republic	763	4		7	5	76	5	25		3	56	10	0		48	3	4				5	21	19	13	12		4	0	0	4	3	127		149	11		17		0	33		5		8	20	0	0			30	15	0	3	
Slovenia	87	0	0		0	20			0	0	5	3			5		0	0			0	0	4	0		0		0	0		0			16	3	0		0			0	0	0		3	0	0	0	0		4	0	0	0
Solomon Islands	10	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	4	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Somalia	6251	0	0	198	0	293	97	46	0	4	19	201	0	49	96	29	17	38	81	4	199	54	170	73	1801		120	0	87	49	26	6		155	69	23	701	4	104	42	8	8	22	246	220	0		88	67	216	450		66	0
South Africa	2988	25	8	70	13	541	80	53	8	7	304	173	14	14	97	38	19	19	19	12	12	42	68	45	34	7	25	3	17	20	11	96	10	202	115	6	67	21	29	86	5	43	6	34	211	0		23	7	108	90		27	
Soviet Union, former	5090	26	37	67	17	783	76	45	8	10	508	125	16	24	191	51	7	24	41	19	26	77	164	106	60	9	42	7	8	54	22	318	14	828	102	4	134	36	57	183	14	53		55	180	0	4	53	9	129	197	7	59	
Spain	1578	6		19		285	14	22		5	334	25	3	3	55	14	8	9	7	9		32	36	18	13		11		4	11	5	86	9	179	32		15	7	7	38	4	12	0	4	77	0	39	18		49	32		7	3
Sri Lanka	1831	3	0	17	7	491	8	23			59	21	12		55	22	4	10		9	3	135	57	26	32		19	0	4	30	4	99	3	293	21	6	34	7	21	50	3	4	0	15	96	0	0	7		60	40		10	
Sudan	2930	12		113		195	110	27	4	8	69	87	0	19	95	31	80	20	23	5	72	101	49	43	92	4	43	0	152	15	41	55		201	156	27	59		5	117	0	9	36	96	226	0	0	19	10	324	67	0	7	0
Suriname	197	0	0		0	13	0				41	14		0		0	0	0	0	0		3	4			0		0			0	12		77		0			0	4	0		0	0	3	0	0	0	0		0	0	0	0
Swaziland	13	0	0		0		0	0	0	0		0	0	0	0	0	0			0	0	0	0		0	0	0	0	0	0	0		0		0	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0
Sweden	1145	3	3	15	7	298	27	19	3	5	99	37	13		27	9		6		11		20	38	19	16	4	5			7	3	42	4	132	30		13	3	15	30	3	4	3	7	51	0			5	37	44		12	0
Switzerland	705	0		8		183	17	12		6	60	11	7	3	23	9		0				23	31	5	6				0	4		36	5	96	13	0	8	3	14	7			0	6	37	0	5	5	5	12	20	3	6	
Syria	2385	8	0	51	6	673	13	39	0	0	171	23	0	0	219	15		7	8	6	0	21	72	122	19	0	6	0		12		164		205	17	0	78	18	12	155	15	9	3	17	77	0	3	6	0	61	26	9	13	0
Taiwan	8990	26	8	87	24	4403	51	38	11	4	172	171	76	5	192	50	27	46	15	18	4	209	140	126	38	5	51		15	51	10	445	16	782	60	9	107	28	92	119	6	13		21	641	0	9	55	5	211	246	7	41	0
Tajikistan	172	0	0		0	19	8	0	0	4	11	3	0		3	0	0	0	0	0	0						3	0	13	0		5		45		3	7				0	0	0		9	0	0	0	0	8	9	0		0
Tanzania	832	12	0	16		78	15	18		5	40	50	0		38	13	11	24	7	0		49	35	17	40	0	13				9	20	4	64	20		53			25	0	4	0	14	80	0	0	0	8	13	17		4	0
Thailand	8751	35	86	97	20	3000	68	46	6	8	354	133	104	11	170	52	14	34	28	27	23	83	141	124	1212	14	53	8	15	180	14	95	16	233	153	4	98	31	93	65	18	37	4	55	314	0	13	35	7	217	264	8	826	5
Togo	1565	18	0	18	0	25	9	34		28	32	90		0	101	12	9	6	3	3	0	320	13	11	134		12	0	107	4		63	0	202	75	0	30		3	52		10	0	5	31	0	0	3		76	8	0	9	0
Tonga	438	0	7	4	0	213	3	0	0	0		0	104	0	0	0	0	0		0	0	0				0		0	0	3	0		0	0	0	0	0		4	0	0	4	0	0	7	0	0	54	0	0	26	0	0	0
Trinidad and Tobago	6829	7		23	14	115	10	59	16	25	1164	257	3		36	11	3	5	7	21	0	309	160	33	17	5	9	3		12	7	479	0	3380	50		33	4	6	172	11	22	0	20	158	0	23			103	16	5	8	0
Tunisia	417	3		7	0	53	3	3			51	7	0	0	17	7		0			0	13	8	14	5		7	0		3		19		62	8	0	10	0		26			0	3	18	0	0	0	0	40	7			0
Turkey	4425	15		37	9	615	45	112	40	18	286	117		0	165	25	16	9	25	19	5	121	141	50	22	7	29		13	37	10	599	3	811	48		89	15	26	173	4	15	0	36	213	0	5	9	6	251	93	3	29	
Turkmenistan	217	0	0	3	0	45	4	3			12	7	0	8	7	0		0	0		0		4	3		0	0	0				11	0	30	3	0		0		10	0		0	0	7	0	0	8	0	6	11	0	18	
Turks and Caicos Islands	31	0	0	0	0	0	0	0	0	0	23		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U.S. Virgin Islands	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0
Uganda	1122			15	3	171	28	13		4	39	33		5	53	15	8	8	6	0		84	199	25	31	0	15	0		5		21		39	19	4	20	11	9	29	3	7	0	19	74	0	0	3		41	26		21	0
Ukraine	11001	45	15	83	10	1483	152	218	11	13	500	162	9	33	1115	108	44	24	57	21	10	121	237	295	164	10	96	14	25	56	32	623	11	1998	196	4	334	33	380	542	11	48	45	82	179		6	59	7	172	1014	9	81	
United Arab Emirates	758	7	0	16	4	97	5	11		0	48	51	0		54	9	3		4	4		17	13	40	21	0	4	0	3	11		40	3	76	8	0	29	7		27	0		0	8	74	0	0		0	40	9	0	6	0
United Kingdom	14545	64	20	300	45	2488	250	321	32	65	1554	531	52	39	515	149	34	55	76	72	57	235	503	318	146	28	138	22	18	143	65	702	75	1463	347	16	261	60	143	489	42	158		159	1125		14	90	41	358	484	31	130	14
United States	171	0				41	0	0	0	0	22	6	0	0				0		0	0	3	9				3	0	0	0	0	13		26		0	3		0		0		0		11	0		0	0	5				0
Uruguay	1418	3	3	14	0	76	4	23		3	480	68	3		20		5		3	4	0	20	75	8	7		4	0	0	13	11	240	0	129	12	0	7		3	24		14	0	11	37		15	15	0	34	7	0	12	0
Uzbekistan	4665	35		76	5	392	148	44		24	274	182	4	99	158	42	7	7	180		3	124	115	76	17		103			5	27	146	9	1043	55		128	9	108	288	0	38	11	56	96	0	0	34	18	149	291	0	27	
Vanuatu	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Venezuela	10692	36	3	54	13	396	67	81	18	23	6078	304	9	7	117	54	15	34	17	48	5	105	157	74	37	17	41		11	31	11	357	17	523	113		106	46	33	118	26	64	0	80	749	0	203	125		176	58	10	19	
Vietnam	28691	118	20	449	115	10198	455	188	18	24	1153	1033	181	70	560	158	199	333	120	386	32	448	820	426	557	85	301	5	188	148	65	439	95	643	685	22	292	284	526	789	19	98	15	204	3108		23	162	20	969	1306	19	117	
Yemen	2396	28	0	19		258	6	30			12	23	0		90	35	0			5	0	7	6	704	15	17	4	0	0	8	0	8	5	908	35	0	4	0		8	3	5	8	39	31	0	0	3	0	32	25	0	4	0
Zambia	576	3		14		70	7	4	0	3	31	53	3		35	13		4	6	0		27	16	13	22		13	0	3	0		12	0	32	7	0	16	7	0	15	0	4	4	5	75	0	0	7		22	15	0	4	
Zimbabwe	1057	8		20		104	9	3	4	5	59	65			27	43	8	4	21	3		38	31	38	10	3	15	5	12	4	4	26	4	47	45		40	6	3	47		4		19	191	0	0	5		42	14	4	6	0
Unknown	1394	5	3	25	8	319	11	15	1	3	159	37	4	4	89	13	0	2	8	14	0	50	23	30	12	3	9	1	2	18	3	62	6	149	37	2	27	10	9	41	5	8	0	9	73	0	10	4	1	31	24	0	14	1
