,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Albania,5088,,3,46,,97,3,284,7,8,402,26,0,,,290,7,0,7,,0,10,64,625,618,7,,55,0,5,25,20,242,,1368,38,0,107,,6,400,0,5,26,0,26,86,0,,6,0,66,21,0,51,0,18
Algeria,808,,0,6,0,147,10,6,,4,43,14,0,0,,53,7,0,,3,7,0,14,90,24,5,0,4,0,,3,,52,,104,12,0,22,,5,41,0,3,,0,0,54,0,0,0,0,39,17,0,6,0,2
American Samoa,232,0,18,,0,28,4,,0,0,,4,,87,0,0,0,0,,,0,0,,0,,0,0,3,,0,6,0,0,0,0,3,0,0,,7,0,0,0,,0,0,13,0,,9,0,7,25,0,0,0,3
Angola,135,0,0,3,0,8,,,0,,15,3,0,,0,3,0,0,0,0,,0,7,23,,0,0,0,0,3,,0,19,0,5,,0,,,0,5,0,5,,0,,13,0,0,,0,4,,0,,0,0
Anguilla,26,0,0,0,0,,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,0,3,,0,0,0,0,,0,0,0,0,0,,0,7,0,0,,0,0,0,0,0
Antigua-Barbuda,341,4,0,,0,4,0,3,0,,40,20,0,,0,,,0,,0,6,0,6,13,,,0,0,0,0,0,0,22,0,132,12,0,,,,13,0,0,,0,0,6,0,37,0,0,7,0,0,,0,1
Argentina,3140,4,,34,,453,27,34,10,7,1134,55,0,6,3,101,24,7,7,11,4,3,64,55,27,20,7,9,,4,49,6,146,13,248,65,0,13,14,14,36,33,8,10,4,15,165,0,,41,0,72,38,4,14,,14
Armenia,3168,,,6,0,2645,25,5,0,0,35,7,0,,0,10,,0,,0,,,19,50,8,,0,,0,,58,,49,0,104,7,0,12,0,6,16,0,4,4,0,,14,0,0,9,4,21,25,0,4,0,1
Aruba,27,0,0,,0,,0,0,,0,12,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0
Australia,1202,,6,22,4,264,54,19,,5,65,28,,18,6,34,11,,5,5,4,8,30,41,23,10,,7,3,,14,6,42,7,96,21,4,15,6,22,23,0,8,12,0,12,86,0,0,14,3,42,62,3,12,,8
Austria,277,,3,6,0,58,8,5,3,0,31,10,0,,,13,3,,0,0,0,3,4,,11,,0,,0,0,7,,9,4,29,7,0,3,0,6,8,0,0,,0,,12,0,0,0,3,5,5,0,4,,3
Azerbaijan,1233,0,0,6,0,558,21,4,,,41,10,0,,4,23,3,3,3,5,0,0,25,31,15,4,0,9,,0,4,,26,0,208,12,0,13,,8,32,0,,0,0,6,32,0,0,11,3,16,78,,3,0,4
Bahamas,475,9,0,4,0,6,,5,0,0,286,44,0,,0,6,3,0,,5,5,,7,5,,0,,0,0,,,0,7,0,13,10,0,0,0,0,8,0,0,6,0,,13,0,,,0,9,0,,0,0,8
Bahrain,102,0,0,,0,17,,0,0,0,,3,0,0,,8,,,,0,,0,5,4,,0,0,,0,0,0,0,10,0,5,4,0,,,0,3,0,0,,,0,15,0,0,,,,3,,,0,1
Bangladesh,6979,33,,67,5,579,25,102,52,5,419,260,0,3,3,118,21,,26,9,21,0,162,121,375,53,11,26,,6,32,6,415,3,2771,66,,49,33,9,198,,3,9,3,21,497,0,0,4,3,250,57,3,13,0,24
Barbados,535,4,0,,0,16,3,8,5,0,56,27,0,,0,,7,0,0,4,0,0,18,43,3,,,,0,0,0,0,36,0,212,6,0,4,0,,21,0,,4,0,5,16,0,,0,0,17,,,0,0,3
Belarus,1523,4,,8,,208,25,26,3,,65,40,0,0,0,124,,3,3,6,,5,20,67,16,55,6,19,,11,8,,94,5,315,23,0,19,4,23,82,0,,17,,,32,0,0,6,,39,97,0,21,,4
Belgium,523,,0,8,,107,11,9,,5,54,18,0,3,0,10,4,,,,8,,16,17,20,5,4,9,0,,,,20,5,50,15,0,9,0,5,15,,,7,0,6,34,0,0,,0,16,10,,,0,3
Belize,556,0,,4,0,199,8,,,,49,18,,0,0,57,4,,,,4,0,3,4,,3,,,0,0,7,0,11,0,70,3,0,,,,6,0,0,3,0,3,53,0,0,5,0,10,9,0,,0,1
Benin,127,0,0,,0,,,,0,,6,,0,,0,16,6,,0,,0,,16,4,,3,0,,0,,,0,,0,14,4,0,3,,,15,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,1
Bermuda,65,,0,0,0,4,,,0,0,11,6,0,0,0,,0,0,0,,0,0,5,,3,0,,0,0,,0,,4,0,3,3,0,4,,,,0,,0,0,0,,0,0,0,0,,,0,0,0,2
Bhutan,50,0,0,,0,10,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0
Bolivia,1185,,4,7,,100,8,5,,5,181,18,,,0,17,6,,0,5,4,,71,25,5,4,0,6,0,,6,0,52,,67,18,,12,7,,9,,28,10,,,65,0,0,8,0,388,8,6,5,0,5
Bosnia-Herzegovina,4012,7,,150,0,163,47,94,0,4,385,263,0,0,64,259,67,193,9,145,10,7,24,59,163,93,,398,,14,59,53,38,,298,42,22,97,3,47,96,0,3,9,9,57,139,0,0,93,20,80,125,0,61,0,37
Botswana,24,,,,0,,,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,,0,0
Brazil,8867,19,,56,6,872,62,270,8,15,2212,290,,38,7,126,35,5,14,16,24,13,136,1718,104,29,11,36,4,9,61,112,595,10,544,126,,62,22,30,126,8,38,42,3,26,468,3,0,104,13,135,113,5,27,0,52
British Virgin Islands,36,,0,0,0,,0,0,,0,5,3,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,5,,0,0,0,0,,0,0,,0,0,,0,11,0,0,0,,0,0,0,0
Brunei,15,0,0,0,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
Bulgaria,3123,8,0,50,6,421,60,32,14,11,245,129,0,8,3,573,12,5,13,22,11,12,84,124,71,25,6,51,3,,133,6,105,6,240,44,3,44,13,25,103,,,31,3,12,98,0,,16,8,66,108,,38,0,13
Burkina Faso,112,0,0,0,0,3,,0,0,,0,8,0,3,,,,0,0,,,0,12,,3,,,,0,4,0,0,7,0,21,4,0,0,,0,10,0,0,,0,,8,0,0,0,0,,7,0,,0,0
Burma,2399,4,,45,0,860,10,14,3,,132,32,0,9,0,34,74,3,6,16,4,3,204,25,39,44,0,3,0,18,17,,29,,386,56,0,36,12,17,35,0,,18,0,14,76,0,0,11,0,52,27,,12,,8
Burundi,145,0,0,11,0,6,8,,0,0,3,12,0,0,0,0,,,0,,,0,6,,6,3,0,,0,,,7,0,0,10,3,0,5,0,0,5,0,,0,0,,24,0,0,0,5,12,0,0,,0,1
Cambodia,3756,29,,36,3,1250,37,32,,,81,108,0,7,0,36,18,7,10,18,15,35,44,467,29,152,7,19,,,17,11,23,4,48,61,,64,7,48,227,0,43,12,3,31,244,0,0,26,0,80,333,0,10,,16
Cameroon,1519,7,,21,10,89,13,9,22,9,27,136,0,,0,44,7,4,7,8,5,,412,77,28,55,0,13,0,9,7,,43,4,40,22,0,31,13,,30,0,0,19,0,6,172,0,0,,,60,16,,19,0,13
Canada,8539,47,24,310,14,1196,234,128,9,19,884,297,,60,40,249,85,32,31,35,35,63,107,230,370,132,17,69,41,16,112,94,224,37,488,255,16,186,36,147,193,3,9,82,6,86,701,,,91,57,233,561,12,74,11,47
Cape Verde,675,0,0,0,0,3,0,12,0,,14,,0,0,0,0,0,0,,0,0,0,5,468,0,0,0,,0,0,0,,,0,8,0,,0,,0,3,0,143,0,0,0,3,0,0,0,0,,,0,0,0,3
Cayman Islands,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Central African Republic,27,0,0,0,0,,,0,0,0,,3,0,0,0,,,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0
Chad,39,0,0,0,0,,,0,0,0,0,,0,0,0,,7,,0,0,0,0,4,0,0,0,0,0,0,,0,0,,,3,0,0,0,,0,0,0,0,3,0,0,,0,0,3,0,4,0,0,0,0,0
Chile,1249,5,,18,,161,17,15,3,7,312,24,0,3,6,17,11,4,3,5,4,,37,33,6,9,,3,,,15,4,74,12,146,22,0,8,0,8,25,6,6,12,0,7,82,0,0,25,0,44,15,,11,3,11
China,33969,105,21,315,52,11271,230,322,104,33,771,501,34,222,44,1063,207,68,89,101,105,40,821,1474,433,246,39,198,15,40,376,73,1153,56,7167,455,9,400,100,319,961,31,53,118,29,140,1705,0,5,74,32,582,806,46,172,14,129
Colombia,18417,45,13,103,7,830,110,258,21,23,8582,680,9,28,19,310,57,17,41,51,44,4,205,473,43,58,26,65,8,28,66,47,1489,21,1671,372,,93,55,34,275,94,115,183,,59,1004,,3,86,7,303,96,5,53,6,117
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo DR,744,,0,18,0,46,24,15,0,,29,40,0,0,0,18,12,5,3,16,,10,74,42,11,8,,11,,,,11,7,0,39,77,0,21,,4,16,0,,0,7,10,94,0,0,8,11,25,8,4,,0,4
Congo R,313,,0,5,0,10,3,6,0,0,4,19,0,0,0,17,4,,0,9,0,5,23,12,4,6,0,7,0,0,6,3,10,0,33,30,,13,0,,5,0,,0,0,,35,0,,3,7,9,5,0,5,0,5
Cook Islands,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,1114,4,0,15,3,111,11,16,3,,260,40,0,3,0,21,8,3,6,,14,,18,18,8,9,8,5,,4,23,,150,5,74,49,0,13,3,8,25,,,11,,9,66,0,0,7,,32,17,,10,0,10
Cote d'Ivoire,549,,,8,,29,13,3,10,,9,48,0,3,0,13,12,,,,0,,59,24,9,9,0,3,0,,,,35,0,94,20,0,7,3,,22,0,4,,,6,30,0,0,,,27,14,,5,0,4
Croatia,589,0,,18,,49,8,11,,,51,9,0,,3,49,26,11,0,4,5,4,7,13,10,5,0,20,0,,11,,23,0,56,8,,53,0,,18,0,,,,5,33,0,0,4,3,11,16,0,21,,9
Cuba,14050,15,,56,4,183,15,21,5,10,11701,92,,9,3,74,11,,10,129,41,,22,21,36,15,15,27,0,5,201,,345,39,190,58,,10,13,45,54,77,3,18,0,32,215,0,0,9,,56,21,,13,0,118
Cyprus,118,0,0,,,11,3,,0,,9,,0,0,0,8,0,0,,,0,0,6,6,0,0,0,0,0,0,0,0,9,,31,,0,,,0,3,0,0,0,0,,7,0,0,,0,7,,0,,0,1
Czech Republic,367,4,0,5,0,64,11,7,0,0,67,8,0,,0,36,,,,0,3,0,7,13,7,3,,,0,0,,3,16,3,19,10,0,5,0,,11,0,0,,0,6,16,0,0,,0,8,12,0,3,,1
Czechoslovakia ,372,6,,4,0,48,4,8,,0,45,14,0,4,,27,3,5,,3,,,5,,14,7,,,,,3,,19,3,32,4,,10,,9,9,0,,,0,9,13,0,0,,,10,16,3,3,0,1
Denmark,123,,0,,0,38,,,0,,12,0,0,3,,5,,,,0,,,,5,,0,0,,0,0,,0,,0,3,4,0,4,0,,3,0,,,,0,6,0,0,,0,3,7,0,,0,0
Djibouti,17,0,0,,0,,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,3,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,0
Dominica,543,,0,4,3,6,0,15,0,,78,27,0,,0,12,,,,3,4,0,20,15,3,,0,3,0,0,,,50,0,90,4,0,,,0,9,3,,3,0,,30,0,118,0,0,9,3,,0,0,13
Dominican Republic,15451,6,11,18,8,63,14,188,38,32,1699,130,5,9,,43,26,5,7,10,50,11,129,1650,52,11,10,13,0,,20,68,2365,,6051,154,,84,7,,783,755,414,30,,16,111,,65,11,0,113,10,3,24,,120
East Timor,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,5931,4,4,28,4,288,27,190,11,8,941,97,0,8,3,203,12,13,12,11,12,3,109,98,11,66,6,14,0,,27,11,1150,12,1833,121,0,22,14,8,112,11,4,28,,9,145,,0,31,0,97,34,,15,,57
Egypt,5860,14,,52,3,1011,19,53,12,3,348,86,0,7,,117,38,9,10,17,23,,93,262,110,55,4,23,,5,19,14,1018,14,832,113,0,119,7,24,261,3,20,61,,286,255,0,0,5,,252,69,15,22,,66
El Salvador,10343,12,12,87,96,3729,93,35,9,97,380,181,0,10,13,106,30,34,44,13,37,,735,294,17,47,4,31,,63,193,7,307,12,850,163,0,16,21,51,45,8,18,22,4,40,1354,,0,73,0,753,96,8,16,3,70
Equatorial Guinea,12,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,0
Eritrea,991,,0,6,,182,40,4,,23,11,59,0,0,0,33,16,0,,,4,,95,21,8,37,,12,0,0,27,0,8,,22,20,0,38,,13,15,0,0,3,,18,66,0,0,,0,79,103,3,0,0,7
Estonia,185,0,,3,,27,3,3,0,,22,4,0,0,0,7,0,,,,0,0,6,6,,,,0,0,0,,,11,0,25,14,0,3,,4,8,0,0,0,,0,5,0,0,,0,6,8,0,,0,2
Ethiopia,8903,13,9,90,,1000,383,15,5,288,106,630,,8,3,174,43,23,60,25,14,9,912,224,59,813,5,77,,17,362,6,69,,148,107,,201,19,114,159,0,3,4,55,165,726,0,0,6,,978,677,17,28,0,44
Falkland Islands,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,1140,0,0,5,0,886,3,0,0,,3,4,0,9,,,,0,5,,,0,3,3,,3,,,0,0,11,,0,,,,0,,,30,0,0,,4,0,,17,0,0,13,0,3,111,0,0,0,6
Finland,286,,,4,,59,6,6,,,31,13,0,,0,3,,,,4,,0,6,14,6,3,0,4,0,0,3,,5,0,23,10,0,4,0,7,4,0,,3,0,,21,0,0,3,0,10,14,0,0,0,1
France,2203,3,4,40,5,550,60,45,3,14,240,71,0,16,4,55,18,4,3,9,15,4,62,100,22,31,0,8,,,15,8,89,8,240,37,,15,7,23,44,,6,8,,13,112,0,,9,6,64,71,,19,,13
French Guiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0
French Polynesia,12,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Gabon,43,0,0,0,0,,,0,0,0,4,4,0,0,0,,,0,,0,,0,7,4,,0,0,0,0,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,0,1
Gambia,444,0,5,0,,12,,5,0,0,9,48,0,0,0,5,4,,7,6,0,0,50,8,12,19,3,6,0,0,,0,10,,65,28,0,15,,,14,0,10,,0,8,15,0,0,0,,8,47,0,9,0,3
Georgia,1107,0,0,,0,282,24,17,0,,44,19,0,0,,30,3,0,0,3,3,,22,13,7,10,0,,,0,13,,103,0,344,5,0,15,0,7,61,0,5,,,3,8,0,0,,0,6,38,3,3,0,2
Germany,4001,35,26,104,,594,137,43,12,16,359,146,3,36,18,108,39,14,23,38,24,8,81,99,112,42,9,37,20,6,28,21,127,35,271,98,4,93,31,65,113,3,6,57,5,36,297,0,,30,11,169,179,15,40,7,57
Ghana,4211,10,,36,3,151,68,93,43,8,69,269,0,4,4,174,17,4,15,16,12,,394,256,24,84,3,23,0,6,11,,374,4,740,95,,238,40,7,135,0,19,26,0,31,251,0,0,10,,336,36,6,16,,42
Gibraltar,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,800,,,9,0,115,,18,7,0,46,6,0,,0,58,7,0,,,,,21,80,15,,,5,,0,5,9,51,3,150,13,0,18,0,,48,0,5,6,0,4,28,0,0,,0,26,13,,5,0,7
Greenland,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,446,0,,,0,8,0,3,,,36,16,0,0,0,,0,0,,,0,0,18,8,,0,0,0,0,0,,0,13,0,267,7,0,,,0,7,0,0,,,0,26,0,9,0,0,8,,0,0,0,1
Guadeloupe,38,0,0,0,0,0,0,,0,,5,,0,,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,0,,0,,0,8,0,0,0,0,0,0,0,0,,0,0,4,0,3,0,0,,0,,0,0,0
Guatemala,5375,14,7,93,24,2047,37,69,9,10,345,98,,4,8,207,22,31,15,15,30,3,147,217,19,29,5,19,,56,102,5,232,15,315,74,,23,27,56,49,8,127,15,7,31,385,0,0,47,,152,67,3,19,,29
Guinea,418,,0,3,0,7,,8,6,,7,42,0,0,0,10,8,,,,3,,46,16,7,9,0,,0,0,0,0,13,0,90,7,0,33,0,0,26,,,5,0,,22,0,0,0,0,17,11,,,0,3
Guinea-Bissau,17,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,,0,6,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,4932,9,,11,0,58,3,77,17,13,532,152,,5,0,24,6,3,3,4,9,,153,37,7,75,,5,0,0,,,410,,3001,38,0,16,6,0,57,0,,15,0,13,62,,7,,,47,9,0,6,0,28
Haiti,12291,13,,11,,74,16,262,58,14,6002,340,5,18,,85,33,,12,28,26,4,197,1150,23,7,4,27,0,3,12,14,923,3,2101,59,0,30,15,7,293,3,61,22,0,18,58,3,7,8,0,98,27,4,5,0,102
Honduras,3056,13,3,27,8,363,32,29,6,5,678,73,,10,6,50,20,3,8,10,163,0,67,75,11,14,12,14,,4,22,6,179,4,320,92,0,16,16,6,43,6,,16,0,23,369,,,13,0,137,28,,16,,31
Hong Kong,2198,4,,21,0,886,18,5,3,,63,36,,31,,42,4,4,7,7,4,3,32,104,29,17,3,7,0,,21,,70,3,345,25,0,15,10,12,45,3,0,3,4,3,140,0,,7,,23,99,3,22,0,5
Hungary,916,4,3,18,0,169,28,20,,,161,10,0,3,,25,6,,4,4,,,13,31,7,,0,3,,3,26,3,68,,101,15,0,24,,7,25,0,,,,5,49,0,0,5,0,24,17,,5,3,6
Iceland,51,,0,,0,10,0,0,0,,5,,0,0,0,,,0,0,0,0,0,,,0,,0,0,0,0,,,4,0,3,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,6,0,0,0,0,2
India,61142,330,11,727,159,12719,376,828,339,25,2123,2627,6,15,34,4098,648,182,330,286,208,35,1470,2079,1768,586,147,559,11,85,232,270,6526,87,3603,1318,26,1364,222,348,2492,7,55,389,18,562,5876,0,7,109,28,2309,1686,55,493,3,246
Indonesia,2765,,4,33,5,1314,39,21,6,5,59,103,,24,0,39,9,6,6,10,11,3,55,23,15,15,,5,0,4,27,19,81,3,232,31,0,26,11,31,165,0,5,7,0,10,155,0,0,8,0,57,62,,9,,5
Iran,9337,29,3,164,11,4950,101,31,8,12,246,216,,5,7,190,29,5,41,23,14,10,329,149,73,32,5,59,0,8,112,13,112,31,339,75,4,64,73,85,100,0,8,21,,84,680,0,0,75,0,436,193,10,18,,50
Iraq,3489,,,152,0,722,34,18,0,0,64,56,0,,,200,7,15,8,20,17,5,17,28,1080,40,,48,3,43,24,6,19,13,60,12,3,40,15,29,64,0,3,91,5,160,141,,0,12,0,118,44,,3,0,38
Ireland,1178,4,,21,,162,13,43,3,6,65,22,0,,,46,3,,3,7,,5,22,156,11,11,4,6,0,,8,9,58,0,252,11,,11,,15,44,0,3,8,0,3,42,0,0,3,,33,34,,9,,4
Israel,3205,9,0,25,3,828,16,18,,6,365,71,0,7,0,111,11,4,5,6,12,,70,117,36,17,,24,0,,29,8,182,6,650,43,0,57,5,10,98,3,7,20,4,23,134,0,,7,,38,62,0,20,0,31
Italy,2064,7,,24,,332,10,57,11,10,225,32,0,8,3,60,8,3,3,3,3,4,47,100,42,4,6,6,,,16,5,173,4,378,41,,41,6,18,103,3,3,12,0,9,78,0,0,7,4,49,58,3,7,,31
Jamaica,12070,30,4,29,3,189,37,483,62,38,3582,737,5,30,,148,21,,19,22,15,13,427,270,55,17,23,35,,4,8,19,774,5,3593,135,0,72,22,6,393,,14,73,0,25,243,3,8,3,3,206,26,10,28,,96
Japan,1622,9,5,22,0,602,25,9,,4,34,36,8,110,3,37,10,5,0,6,,0,22,34,26,8,7,9,0,,24,4,52,5,149,21,0,21,7,25,17,0,5,12,0,5,53,,,23,,50,79,5,5,0,19
Jordan,2436,17,0,28,4,394,26,7,11,,127,46,0,0,,292,32,10,12,27,47,0,22,41,121,27,11,26,0,5,5,3,159,3,145,62,0,141,18,11,77,9,5,23,0,37,222,0,6,,0,60,39,,40,0,33
Kazakhstan,763,,3,8,,118,20,6,,3,39,13,0,,0,26,,,,3,,,12,36,9,25,,7,0,,6,,43,3,132,11,,15,0,20,28,0,,10,0,7,27,0,0,,,19,86,0,5,,2
Kenya,3043,33,,32,4,280,21,20,78,10,101,217,,14,5,57,35,28,83,20,10,3,173,214,31,180,3,66,0,13,13,17,165,4,68,98,,56,47,8,110,0,5,43,0,37,394,0,0,4,,96,102,5,14,0,20
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Korea,13,0,0,0,0,4,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1
Korea,11170,31,19,89,22,3318,173,78,41,9,231,544,46,187,12,474,49,19,34,37,36,5,394,155,164,45,11,72,,14,105,7,801,18,1018,182,,88,81,86,327,0,11,78,8,86,607,3,,29,,659,525,5,37,3,89
Kosovo,590,0,,14,0,11,,38,0,0,21,16,0,,,19,0,7,0,25,5,0,10,13,23,,,4,0,0,,4,41,0,203,9,0,6,6,,20,0,0,0,,8,30,0,0,5,,13,7,0,16,0,3
Kuwait,919,12,0,19,,136,6,11,3,0,63,18,0,,,68,13,,6,5,22,,13,20,40,6,5,8,0,,5,3,44,,46,50,0,43,8,12,18,,5,6,0,16,104,0,,0,0,36,16,,12,0,7
