Subject	Asia	Europe	Latin America	Africa	Northern America	Oceania	Total
Foreign-born population	11283574	4817437	21224087	1606914	806925	216736	39955854
CITIZENSHIP AND PERIOD OF ENTRY							
Naturalized citizen	57.70%	61.80%	32.10%	46.10%	44.30%	36.90%	43.70%
Entered 2000 or later	6.80%	5.40%	3.10%	11.10%	2.60%	4.70%	4.80%
Entered 1990 to 1999	18.10%	15.60%	7.10%	17.10%	7.00%	10.70%	11.60%
Entered before 1990	32.80%	40.80%	21.90%	17.90%	34.70%	21.50%	27.30%
							
Not a citizen	42.30%	38.20%	67.90%	53.90%	55.70%	63.10%	56.30%
Entered 2000 or later	29.40%	18.80%	32.10%	40.40%	25.00%	36.20%	29.90%
Entered 1990 to 1999	8.60%	9.00%	21.30%	9.50%	13.30%	13.60%	15.50%
Entered before 1990	4.30%	10.40%	14.60%	4.00%	17.40%	13.20%	10.80%
							
SCHOOL ENROLLMENT							
Population 3 years and over enrolled in school	1967121	592321	2640594	443427	116514	32326	5792303
Nursery school, preschool	2.00%	2.00%	1.20%	1.40%	1.80%	2.30%	1.60%
Elementary school (grades K-8)	21.30%	24.80%	31.40%	21.10%	27.00%	27.20%	26.40%
High school (grades 9-12)	14.90%	18.90%	28.10%	15.90%	18.30%	20.80%	21.50%
College or graduate school	61.80%	54.30%	39.30%	61.60%	52.90%	49.80%	50.50%
							
EDUCATIONAL ATTAINMENT							
Population 25 years and over	9633189	4282984	17549652	1274633	705280	179654	33625525
Less than high school graduate	16.20%	15.20%	46.80%	12.10%	10.00%	14.00%	31.70%
High school graduate (includes equivalency)	16.60%	25.20%	25.30%	20.00%	20.10%	23.20%	22.50%
Some college or associate's degree	18.70%	23.30%	16.70%	27.70%	27.50%	30.00%	18.80%
Bachelor's degree	28.10%	18.50%	7.60%	24.20%	23.90%	19.30%	15.90%
Graduate or professional degree	20.40%	17.90%	3.60%	16.10%	18.60%	13.50%	11.10%
							
EMPLOYMENT STATUS							
Population 16 years and over	10636820	4602779	20050558	1464934	760254	202090	37717616
In labor force	66.20%	57.50%	70.70%	75.10%	57.40%	71.30%	67.70%
Civilian labor force	66.00%	57.40%	70.60%	74.80%	57.30%	71.00%	67.60%
Employed	60.40%	52.50%	62.70%	66.00%	53.10%	63.80%	60.70%
Unemployed	5.60%	4.80%	8.00%	8.80%	4.10%	7.20%	6.90%
Percent of civilian labor force	8.50%	8.40%	11.30%	11.80%	7.20%	10.10%	10.20%
Armed Forces	0.20%	0.10%	0.10%	0.30%	0.10%	0.30%	0.10%
Not in labor force	33.80%	42.50%	29.30%	24.90%	42.60%	28.70%	32.30%
							
OCCUPATION							
Management, business, science, and arts occupations	47.40%	44.60%	14.10%	37.70%	59.00%	40.90%	28.60%
Service occupations	17.50%	16.70%	31.20%	24.80%	9.30%	19.50%	25.10%
Sales and office occupations	21.00%	19.40%	15.60%	19.80%	21.10%	22.60%	17.80%
Natural resources, construction, and maintenance occupations	3.40%	8.50%	19.80%	3.30%	4.60%	6.80%	13.00%
Production, transportation, and material moving occupations	10.60%	10.70%	19.30%	14.40%	6.00%	10.30%	15.50%
							
EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS							
Population 16 years and over with earnings	4702326	1700717	8567227	672737	286670	92955	16022680
$1 to $9,999 or loss	2.20%	1.90%	3.30%	2.20%	1.60%	3.40%	2.70%
$10,000 to $14,999	4.60%	2.80%	10.80%	5.10%	1.90%	4.20%	7.70%
$15,000 to $24,999	14.60%	10.70%	31.70%	19.00%	7.40%	14.80%	23.40%
$25,000 to $34,999	13.60%	14.90%	20.80%	17.30%	9.70%	13.80%	17.70%
$35,000 to $49,999	16.60%	19.20%	16.80%	19.00%	15.90%	15.20%	17.10%
$50,000 to $74,999	19.40%	20.90%	10.40%	18.30%	22.00%	19.20%	14.70%
$75,000 or more	28.90%	29.50%	6.40%	19.00%	41.40%	29.40%	16.70%
							
POVERTY STATUS IN THE PAST 12 MONTHS							
Population for whom poverty status is determined	11138776	4748998	20959217	1580661	789206	212817	39429856
Below 100 percent of the poverty level	14.00%	10.00%	23.60%	20.70%	9.10%	14.50%	18.80%
100 to 199 percent of the poverty level	16.60%	16.40%	31.80%	21.70%	11.40%	16.00%	24.70%
At or above 200 percent of the poverty level	69.40%	73.60%	44.70%	57.60%	79.50%	69.50%	56.50%
							
Occupied housing units	4406515	2327811	7940242	688841	393791	79539	15836799
HOUSING TENURE							
Owner-occupied housing units	57.30%	67.40%	45.50%	39.80%	72.30%	57.10%	52.50%
Renter-occupied housing units	42.70%	32.60%	54.50%	60.20%	27.70%	42.90%	47.50%
							
Average household size of owner-occupied unit	3.51	2.53	4.12	3.63	2.4	3.39	3.56
Average household size of renter-occupied unit	2.77	2.08	3.72	2.84	1.91	3.34	3.24
							
SELECTED CHARACTERISTICS							
Linguistically isolated households	27.00%	18.90%	35.60%	17.40%	2.40%	7.10%	29.00%
