Subject	Asia	Europe	Latin America	Africa	Northern America	Oceania	Total
Foreign-born population	10652379	4887221	20455547	1492785	822377	206795	38517234
CITIZENSHIP AND PERIOD OF ENTRY							
Naturalized citizen	58.10%	61.40%	32.10%	43.80%	45.40%	33.80%	43.70%
Entered 2000 or later	5.50%	4.00%	2.40%	8.50%	1.90%	3.50%	3.70%
Entered 1990 to 1999	17.50%	15.20%	6.90%	16.50%	6.70%	9.20%	11.30%
Entered before 1990	35.20%	42.20%	22.70%	18.80%	36.80%	21.10%	28.70%
Not a citizen	41.90%	38.60%	67.90%	56.20%	54.60%	66.20%	56.30%
Entered 2000 or later	27.40%	18.20%	29.70%	39.90%	21.80%	36.30%	27.90%
Entered 1990 to 1999	9.30%	9.60%	22.50%	11.30%	14.20%	15.00%	16.60%
Entered before 1990	5.10%	10.80%	15.70%	5.00%	18.60%	14.90%	11.80%
SCHOOL ENROLLMENT							
Population 3 years and over enrolled in school	1762966	603874	2508627	411999	109263	29264	5425993
Nursery school, preschool	2.30%	2.20%	1.30%	1.20%	1.50%	3.50%	1.70%
Elementary school (grades K-8)	22.90%	25.50%	34.10%	22.10%	27.90%	25.70%	28.40%
High school (grades 9-12)	14.90%	18.50%	28.40%	15.20%	17.90%	22.40%	21.70%
College or graduate school	59.90%	53.80%	36.20%	61.50%	52.80%	48.40%	48.20%
EDUCATIONAL ATTAINMENT							
Population 25 years and over	9185091	4330308	16924624	1184457	725276	174243	32524129
Less than high school graduate	16.30%	15.40%	47.90%	11.70%	10.90%	14.80%	32.30%
High school graduate (includes equivalency)	16.80%	25.20%	24.70%	18.70%	20.10%	24.00%	22.20%
Some college or associate's degree	18.80%	23.00%	16.40%	27.70%	28.00%	28.50%	18.70%
Bachelor's degree	27.80%	18.50%	7.60%	25.20%	22.90%	19.90%	15.80%
Graduate or professional degree	20.30%	17.80%	3.50%	16.60%	18.10%	12.80%	11.00%
EMPLOYMENT STATUS							
Population 16 years and over	10045914	4666932	19262419	1364547	779411	193510	36312863
In labor force	66.80%	58.30%	72.00%	76.40%	58.20%	71.20%	68.70%
Civilian labor force	66.60%	58.20%	71.90%	76.00%	58.10%	70.40%	68.50%
Employed	61.50%	53.60%	64.30%	68.00%	54.60%	64.60%	62.10%
Unemployed	5.20%	4.60%	7.60%	8.00%	3.50%	5.80%	6.50%
Percent of civilian labor force	7.70%	7.90%	10.60%	10.50%	6.00%	8.20%	9.40%
Armed Forces	0.20%	0.20%	0.20%	0.40%	0.10%	0.80%	0.20%
Not in labor force	33.20%	41.70%	28.00%	23.60%	41.80%	28.80%	31.30%
Civilian employed population 16 years and over	6176122	2499675	12378637	927418	425502	125042	22532396
OCCUPATION							
Management, professional, and related occupations	47.80%	44.00%	13.80%	38.70%	56.90%	41.00%	28.50%
Service occupations	17.00%	16.60%	30.60%	24.10%	9.40%	19.90%	24.60%
Sales and office occupations	21.20%	20.20%	15.40%	19.60%	22.90%	23.20%	17.90%
Farming, fishing, and forestry occupations	0.20%	0.20%	3.40%	0.10%	0.20%	0.30%	2.00%
Construction, extraction, maintenance, and repair occupations	3.30%	8.20%	17.30%	3.10%	4.70%	5.60%	11.60%
Production, transportation, and material moving occupations	10.50%	10.80%	19.40%	14.40%	5.90%	10.10%	15.50%
EARNINGS IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS							
Population 16 years and over with earnings	4585059	1785092	8614911	652384	298092	90204	16025742
$1 to $9,999 or loss	2.60%	2.00%	4.20%	2.80%	1.60%	2.70%	3.30%
$10,000 to $14,999	4.70%	3.10%	11.90%	5.90%	2.40%	4.30%	8.40%
$15,000 to $24,999	14.90%	12.20%	31.60%	19.40%	7.50%	12.60%	23.60%
$25,000 to $34,999	13.40%	14.40%	20.40%	17.40%	9.40%	17.50%	17.40%
$35,000 to $49,999	17.70%	20.10%	16.70%	19.90%	18.60%	19.70%	17.60%
$50,000 to $74,999	19.00%	19.60%	9.50%	17.10%	21.70%	16.90%	13.90%
$75,000 or more	27.80%	28.50%	5.60%	17.50%	38.80%	26.30%	15.70%
POVERTY STATUS IN THE PAST 12 MONTHS							
Population for whom poverty status is determined	10512008	4811272	20187220	1468416	804264	202976	37986286
Below 100 percent of the poverty level	12.70%	9.70%	22.20%	18.70%	8.50%	12.80%	17.50%
100 to 199 percent of the poverty level	15.70%	15.10%	31.60%	20.80%	11.60%	16.70%	24.20%
At or above 200 percent of the poverty level	71.70%	75.30%	46.20%	60.60%	79.90%	70.50%	58.30%
Occupied housing units	4175984	2331127	7740884	646542	407387	82490	15384544
HOUSING TENURE							
Owner-occupied housing units	58.00%	67.50%	46.10%	41.20%	73.30%	54.10%	53.10%
Renter-occupied housing units	42.00%	32.50%	53.90%	58.80%	26.70%	45.90%	46.90%
Average household size of owner-occupied unit	3.49	2.54	4.09	3.72	2.46	3.32	3.54
Average household size of renter-occupied unit	2.75	2.08	3.7	2.71	1.94	3.18	3.22
SELECTED CHARACTERISTICS							
Linguistically isolated households	27.60%	19.60%	37.30%	17.90%	2.60%	7.30%	30.10%
