Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Austria	512		0	6	0	110	8	4		3	51	17	0	4	0	18		4			5		18	28	14	6	0	3			6	3	26	0	63	13	0	14		3	13	0	3		0		23	0	0	3	3	13	7	0	5	0
Azerbaijan	834		3	5	0	231	4	15			24	5	0		13	12	4	0	3	9		0	35	24	15	4	0	9	0		6	3	22		197	24		8	3	5	24	0				5	32	0	0	11		20	39	0		0
Bahamas	751	3	0	0		11		6			467	56	0	0	0	7	4			4	5		9	7	7	4	3		0				7	0	30	27		7	5		10	0	0	8	0	12	28	0	3	0	0			0		0
Bahrain	120		0		0	17	0	0	0	0	4	7	0	0	0	7		3		0		0	3		7	3	0	3	0	0	0	0	11	0	13	3	0	3			3	0	0	0	0	0	14	0	0	0	0	4	4	0	0	
Bangladesh	16651	46		103	8	958	38	299	38	28	625	518	0	8		162	44	6	46	14	42	6	282	263	908	70	12	43	0	5	51	14	1237		8529	60	4	119	42	18	465	4	16	20		22	717	0	15	10	4	631	67	12	16	0
Barbados	603	5	0	3	0	16	0	16		5	61	13	0	0	0	5	3					0	25	42				0	0	0		0	31	0	296	11	0	4		0	13	0			0		11	0	5	0	0	7	7		3	0
Belarus	2407	4	4	11		317	54	55	18	3	141	38	0	6	4	168	7			10	3	7	46	158	15	90		14	0		16	4	158	5	444	45	0	40	11	28	141	0	4	23	0	6	42	0	0	3	3	55	172	0	26	
Belgium	686	0	0	18	4	120	5	17		5	60	29	0	4	5	16	9	6	5		3		15	27	10	6	0	8		0	9	0	41	3	101	7		16		14	12	0		8	0	8	45	0	0	3		21	12		3	0
Belize	1041		0	24	3	372	3	4			93	21	0	0	0	105	3		0	8	8	0	4	4		5			0	0	19	0	11	4	174	16		5	0	5	9	0	0		0	6	104	0		0	0	4	9		4	0
Benin	401			4	0	14	21		0	3	5	24	0	0	0	40	18	0		6	4	0	34	9		16	0	3	0	17	3	0	8	0	52	12		14		0	20	0	0		0	8	28	0	0		0	15	9	0		
Bermuda	108	5	0		0	5	0	5		0	16	12	0	0	0				0	0	0	0	7	9			0	0	0	0			4	0	10	4	0	0	0	0	9	0	0	3	0	0	4	0	0	0		3		0	0	0
Bhutan	594	0	0	49	0	33			0	0	7	122	0	0	19	20	0	0	5	9	0		16	21		14	0	14	0		0	16		0	26	3	0	26	0	12	21	0	0	0	3	0	77	0	0	27	10	7	28	0		0
Bolivia	2837	5		14	5	269	11	17		6	499	33	0			32	12		6	11	15		156	57	8	16		5	0	0	20		88	7	196	14	0	8	4	5	21	4	68	12		7	162	0	0	35		973	10		8	
Bosnia-Herzegovina	1501	3	0	52	3	85	33	20		7	122	69	0		25	133	16	58	7	49	10		8	26	73	28	0	115	0	8	26	13	29		89	21	18	31		9	53		3		4	19	80	0	0	29	7	34	48		27	0
Botswana	55	0	0		0	6	0		0	0	4	3	0	0	0		0	0	0	0	0		7	3	3	0	0	0	0		0	0	4	0	9		0		0			0	0	0	0	0	4	0	0	0	0		0	0	0	0
Brazil	14701	76	13	116	22	1680	106	552	10	45	3620	594	0	85	29	199	76	15	50	31	63	19	229	2025	160	84	26	72	10	21	98	87	1157	28	1085	221	3	112	29	54	219	18	66	87	5	70	619	0	7	183	11	243	197	7	58	9
British Virgin Islands	46	0	0		0	0	0	0	0	0	10		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	13	0	0	0	0	0	0		0	0	0	0		0	16	0	0	0	0	0	0	0
Brunei	26	0	0		0	7		0	0	0	0		0		0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0		0			0	0	0	0	0	0		0	0	0	5	0	0	0	0	0		0	0	0
Bulgaria	3133	8	7	68	5	401	43	25	20	14	257	102	0	10	4	504	31	7	15	16	9	12	72	170	43	32		58		4	118	3	148	10	270	37		42	12	19	86	0	3	40	7	11	93		0	18		126	107	0	35	3
Burkina Faso	416	3	0	3		8	5	4	0			20	0	0	0	10	6	3	0		6	0	39	8	3	5	0		0	7			38	3	123	8		13	4		16	0	0		0	3	24	0	0		3	14	18		3	0
Burma	13621	4	5	472	4	1252	174	70		6	469	557		15	97	450	1430	70	161	185	15	10	521	106	330	724	0	97		260	28	0	101	5	1348	508	4	292	226	134	215	0	0	41	61	240	2004	0	0	259		209	316	3	137	0
Burundi	1505	13	0	103		33	24	15	0	0	30	80	0	0	62	54		54	6	45	9		12	52	50	5	0	27	0	4	8	21	9	8	70	18	19	28	0	19	12	0	4	0	33	105	295	0	0	47	18	51	51	0	5	
Cambodia	3771	7		33	4	1202	37	55	0	6	95	88	0	11		50	16	11	13	29	13	28	33	400	25	231	7	14	0		26	7	21	0	71	53		91	9	57	167	0	65	18		31	277	0	0	35	0	79	318	0	28	0
Cameroon	3463	30		43	11	167	14	6	37	57	57	243	0	0	6	99	8	5	24	36	13		1158	118	68	145	5	28	0	6	7	11	71	4	126	34	10	93	51	6	66	0		17	8	19	352	0	4	13	0	128	28		24	
Canada	16140	84	62	463	73	2510	300	240	35	67	1390	384	6	95	89	511	183	77	76	99	66	82	207	493	672	254	33	169	67	41	209	81	485	59	1368	439	65	349	93	200	387	8	43	137	36	205	1255	0	9	154	52	308	1142	20	190	18
Cape Verde	2238	0	0	0	0	13	0	64	0	0	14	3	0	0	0		0	0	0		0	0	4	1654	0		0		0	0	0		13		18	0	0	0		0	6	0	436	0	0		0	0	0		0	0		0	0	0
Cayman Islands	45	0	0	0	0				0	0	24	3	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0			0	0	0	0		0	0		0	0	0	0	0	0	0		0	0	0	0
Central African Republic	107	0	0	3	0	13		0	0		3	0	0	0	0	0	5				0	0	10	3	4	0	0		0	0	0	0			10	5	0	5			9	0		0	0		12	0	0	0	0	11	0	0	0	0
Chad	102	0	0	5	0	4		0	0			3	0	0	0		16	0	0		0	0	10	0	0	0	0	0	0			0	12	0	19	0	0	6	0	0		0	0	0	0	0	11	0	0	0	0		0	0	0	0
Chile	2250	12	3	28	10	341	46	51	9	10	596	34	0		10	38	6	11	8	4	12		60	44	10	28		15	3		26	6	117	8	217	42	0	25	4	10	67	10	4	10	0	24	111	0	0	71		43	42		8	6
China, People's Republic	64238	240	65	499	110	17139	466	616	117	85	1366	859	113	605	84	1739	434	152	191	245	228	71	1195	2202	711	524	102	405	39	94	518	151	2271	133	19921	709	39	774	170	454	1620	54	102	210	38	407	2616	3	69	182	46	1126	1474	58	361	36
Christmas Island		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Colombia	27849	76	22	192	34	1386	119	548	34	63	11139	1009	0	7	24	456	77	27	61	40	89	13	374	788	71	118	21	87	11	51	161	74	2867	24	3422	575	10	133	67	46	384	244	223	288		126	1513	4	4	79	6	403	150	20	85	
Comoros		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
Congo, Democratic Republic	2122	19	0	44		126	75	37		6	27	110	0	0	91	118	24	45	9	94	5	32	95	50	38	35		28	0	6	6	31	12	17	107	149		42	4	16	30	0	6		13	24	371	0	0	22	9	91	35	3	12	0
Congo, Republic	1563	16	0	108		52	44	16	0	5	21	95	0	0	24	116	7	10	9	25	17	3	72	41	36	21		24		4	23	20	13		102	108	3	51		14	25	0	3	0	39	40	216	0	0	11	17	65	38	0		0
Cook Islands		0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Costa Rica	2384	7		25		191	23	27	4	5	519	87	0	5	4	25	20	4	5	4	21	0	44	53	19	13	11		0	3	24		490	8	149	174	0	12	9	16	61	17	5	41		25	104	0	0	17		56	26		18	
Cote d'Ivoire	2159	4	0	66		92	31	31	8	17	41	107	0			46	31	35	12	17	4	3	170	61	31	61		58	0	7	7	34	85	0	539	45	14	51	6	6	121	0	37	6	21	30	111	0	0	25	0	40	27	0	16	0
Croatia	496	0	0	9	0	54	9	6			39	12	0			37	8	12			4	0	11	17	5	3	0	8	0	0	13		30		84	5		21	0	5	13	0	0	5			27	0	0	7		10	15		6	
Cuba	38954	53	6	293	6	451	64	45	14	3	31928	255	0	3	4	150	15	13	45	616	169	4	27	54	114	22	20	100		88	735	6	880	114	416	149	0	25	4	144	163	141	4	14		145	1192	0	0	34		147	64	0	11	0
Cyprus	142			7		25			0	0	10	4	0	0	0	8		0			0	0	3	6			0		0	0		0	13	0	31		0		0	0	4	0		0	0	0	7	0	0	0	0			0		0
Czech Republic	146		0	9	0	17	4		0	0	13	0	0	0	0	15	0	0		0			3	8	5		0		0	0	4	0	0		19	4	0		0		5	0	0		0	4	10	0	0	0	0		6	0		
Czechoslovakia, former	865	8	3	20		117	22	16	0	6	161	33	0	8		84	5	3			5		22	25	14	5	3	9		0	7		23		79	35	0	9	4	4	20		0	9	0	13	21		0	3	0	20	27		5	0
Denmark	603		0	8	0	133	21	15			42	26	0			20	3	3	6	5			12	18		10	0	0		0		3	21		58	15		10	3	7	6	0		0			60	0				20	48	0	4	0
Djibouti	54	0	0		0	9		0	0			0	0	0	0	3			0	0	0	0			0	9	0	0	0	0	0	0	0	0	3	0	0		0	0	0	0	0	0			6	0	0	0	0	5	4	0	0	0
Dominica	484		4		0	7		12		4	68	16	0	0	0		0		0			0	9	22	4				0	0		0	46	0	115	3	0		0		4	0			0	3	23	0	118	0	0	4	0	0	0	0
Dominican Republic	49414	17	53	62	6	190	27	733	68	103	4024	302		5	6	157	61	12	10	24	92	18	389	4048	138	77	11	27		13	69	197	7445	6	23793	330	0	173	13	9	1848	2812	1047	42	3	52	251	5	350	29	4	170	29	4	56	0
East Timor		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Ecuador	12128	8	6	58	18	573	28	409	12	15	1867	143		11	9	415	23	14	14	12	34	8	150	124	20	89	15	17		6	61	15	2330	27	4409	249	3	35	18	11	165	24	19	69	0	35	285		0	64	4	146	38	4	13	
Egypt	8844	26	3	60	8	1244	36	89	50	16	379	99	0	4	5	263	65	26	17	35	26	23	129	254	137	100	15	36	6	25	38	24	1587	12	1463	153	4	182	13	72	323	4	12	50	15	667	369			17	8	484	114	18	35	
El Salvador	19909	25	15	125	197	6509	114	77	10	263	674	410		5	14	162	95	77	84	32	32	5	1635	533	30	108	5	54	0	87	417	10	657	23	2100	370		48	18	56	59	24	33	32	16	87	2632	0	0	89	0	1646	175	8	28	
Equatorial Guinea	32	0	0	15	0	5		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0		0	0	0	0	0	0	0		0	0			0	0	0	0	0	0	0		0
Eritrea	1928	0	0	63		289	114	3	8	44	23	107	0	0	5	49	24	17	12	4	6	0	118	52	12	70		57	0		78	0	13		23	46	0	40	9	19	24	0	9		73	15	152	0	0	36	0	130	169		6	0
Estonia	282		3	6		23	5	5		0	56	5	0	0	0	13	4	0		3		0	6	3		4	0	4	0		5	0	20		39	8	0	5			6	0	0	0			13	0	0		0	13	12	0		0
Ethiopia	15462	29	15	233	15	1414	718	66	12	506	193	931		7	30	393	114	100	116	96	26	28	1440	371	196	1614	14	176	24	83	508	21	107	28	337	216	14	473	44	263	274	0	10	33	136	302	1025	0		76		1302	1168	23	126	9
Falkland Islands		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fiji	1194	0	5	4	0	913	3		0	0	18		0	14	0	7	0	0					8			5	0	6	0	0	6	0		4		3	0	7	0	31		0	0	0	0	0	16	0	0	7	0	0	119	0		
Finland	423	0		3	0	63	5	13		3	65	27	0	0	0	8		0					7	11	6	7	0	5	4	0		4	3		38	12		7	0		8	0	0	6	0	3	55	0	0	4		13	22	0	5	0
France	4491	13		66	8	1066	39	51	3	49	453	125	0	16	5	119	27	10	8	18	20	5	98	186	59	50	4	27	5	6	48	18	167	23	757	86	0	53	7	22	118	8	13	33	4	29	253	0		14	5	110	147	3	30	3
French Guiana	18	0	0	0	0	5	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0
French Polynesia	30	0	0	0	0	10		0	0	0		0	0	8	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0		0	0	0		0	0		0	0		0	0	0	0	0	0
Gabon	171		0	4		4	3		0	4	4	14	0		5	11			0			0	13	4	8		0		0	3	6	0		0	12	5	0		0	0	4	0	0	0	0	0	34	0	0	0		9		0		0
Gambia	978	9	11	6	0	18	4				8	107	0	0	0	7	4	3	15	16		0	87	13	19	31		6	0				14		232	64	0	36	4	4	28	0	15		0	20	32		0		0	15	89		43	0
Georgia	1578	5		7		219	13	18	3	7	73	29	0		12	43	5			11	3		20	22	7	12	0	7		0	14	4	192	5	554	21		31	3	8	90	0	3	10	0	5	22	0	0	9		30	42	0	4	
Germany	7583	75	23	140	16	1295	153	101	24	39	683	244	3	44	22	239	75	44	40	49	50	29	161	233	234	73	28	83	21	15	59	38	220	52	850	213	8	165	45	79	208	7	28	116	12	89	505			62	4	255	216	16	93	4
Ghana	8401	27	5	57	22	257	151	203	52	14	156	465	0		9	301	41	21	14	51	14		692	498	73	154	3	47	5	16	25	4	745	11	1926	216	6	538	59	13	251	0	66	27		72	323		0	17	8	605	86	10	38	
Gibraltar	8	0	0	0	0		0	0	0	0	3		0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greece	798	0	0	9	0	103	5	29			77	15	0		0	44	7	4		0	6	3	26	62	16	4	0	6	0	0	6	4	49	0	171	12	0	6	6		27	0		7		5	35	0	0		0	24	9	0	10	0
Grenada	748	0		0	0	17	0	9			41	17	0	0	0	3	3			0	0	0	31	3		0	0	0	0		0	0	29		514	7	0		0	0	11	0		0	0		31	0	4	0	0	9	3			0
Guadeloupe	32	0	0	0	0		0		0	0	8	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0		0	6	0	6	0	0		0	0	0		0		0	0		0		0	0	0	0	0	0	0
Guam		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guatemala	12187	119	14	189	68	4282	100	187	37	23	884	368			10	472	76	88	66	51	63	8	308	388	68	90	11	102	4	151	227	9	499	30	715	175		91	66	150	110	11	254	52	39	117	641	0	0	106	5	389	198	5	59	6
Guinea	1725	7	0	3	0	31	22	11	4	6	17	120	0	0	0	26	47	4	10	5	0	3	111	34	21	55		6	0	5	4	3	47	3	743	20	3	65	0		90	0	30	0		33	63	0	0			35	24	0	6	0
Guinea-Bissau	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5		0	0	0	0	0	0	0	0	0		0	0		0	0		0	5	0	0	0	0	0	0		0	0		0	0	0
Guyana	6670	10	0	9		71	12	104	8	12	614	144	0			16	4	4		0	7	0	242	58	15	110	0	6		0	6		547	0	4363	35	0	37	7	0	75	6		5	0	17	58	0	6			38	6		5	0
Haiti	24280	11		14	5	103	20	519	97		13403	333	0		10	142	40	18	17	18	35	7	288	1948	41	17	5	30	8	4	20	18	1775	16	4229	55	5	37	8	27	406	6	67	18	4	32	82	0	164	22	3	82	44		19	0
Honduras	6404	22		74	26	798	39	53	4	14	1381	130	0	3	6	134	52	30	42	19	276	3	171	170	28	34	15	45	0	18	55	4	404	8	718	187		31	27	18	57	22	8	36	6	47	818		0	10	0	273	51		30	
Hong Kong	2651	8	0	18	4	1157	14	21	0		47	29	7	41	0	66	5	6	9	5	7		48	114	13	13		9	3	0	25	5	96		449	20	0	30	9	12	35	0	4	6	0	11	114	0		12	0	24	135		13	0
Hungary	1314	6	3	19		232	15	34	0	3	274	17		6	0	37	23			4	5	4	26	21	13	12		6			27	3	73		207	25		30		8	28			10	0	12	39		0	8	0	28	19	0	17	
Iceland	131		0		0	28	0		0		22	15	0	0			3		0	0		4	0	8		0	3		0	0	0	0	3	0	9		0		6	0	4	0	0	0	0		3	0	0	0	0	3		0	0	0
India	57304	291	4	553	175	12826	322	866	231	44	1675	1856	5	38	28	3946	657	174	281	270	242	30	1518	1666	1294	596	204	377	15	102	244	148	7080	73	4410	1026	29	1101	312	396	2142	4	75	309	24	550	4716	0	16	137	29	1944	1670	55	509	19
Indonesia	3679	17	5	59	10	1522	83	13	5	8	67	98	6	31	9	75	21	11	28	8	12		79	45	31	38	4	11	3	4	43	68	105	9	329	27	3	53	30	32	157		4			20	190	0	0	11	6	80	191		9	
Iran	18553	45	3	279	14	11227	124	80	11	23	310	333		10	63	322	49	21	70	51	38	10	531	208	105	99	14	69		13	171	21	198	42	495	164		133	80	101	120		11	22	3	152	1481	0	0	149		658	371	17	30	5
Iraq	12110	44	3	751	15	2768	150	71	0	29	175	217	0	0	116	760	24	54	69	133	31	23	127	139	2691	68	5	192	5	86	38	38	91	50	289	177	46	153	56	50	231		19	54	23	232	813		0	112	30	559	244	8	45	3
Ireland	1637		0	16		279	19	40		6	90	27	0	4	3	85	13	10	5	14	3	3	27	235	13	12	6	7	3		12	9	48		362	25		22		17	50	0	6			5	47	0		3		37	47	3	6	0
Israel	5612	16		59	6	1412	39	36	6	6	624	132	0	12		170	20	18	13	16	38		95	238	70	20		33	0	3	98	6	360	14	1152	53		89	10	36	121	5	8	18		42	277			7		64	142	3	12	
Italy	2892	11	3	31	3	465	46	59	12	27	370	53		11	7	104	23	7	18	3	11	3	59	130	57	13		9			26	9	150	12	520	61		37	5	22	101	15	16	23		11	140		0	13		93	67	5	17	
Jamaica	21783	68	3	77	4	324	59	1031	67	83	6655	973	0	7	3	260	51	14	12	16	69	20	693	587	116	40	55	65	4	4	40	20	1309	6	7104	202		114	10	12	573	0	28	158		50	344		26	3	23	289	44	13	50	
Japan	7690	26	11	82	19	2339	84	63	7	27	230	141	61	534	28	237	48	18	38	65	29	12	130	173	185	68	12	46	12	20	107	13	231	14	857	128	6	142	35	127	149	4	4	36	3	59	296	6	12	55	12	156	431	18	38	6
Jordan	4282	42	0	53	17	625	27	36	8	7	212	56	0		3	560	51	11	15	45	92	4	53	40	238	40	9	45		9	21		238	36	355	140		294	24	13	86	14	3	33		92	370	0	17	24		126	49	5	34	
Kazakhstan	1562	11	9	31	4	221	25	12		6	85	30	0	0	7	56	14	6	5	15	12	4	35	72	20	25		14	4	0	7	6	77	6	246	29		38	4	47	92	0	3	14	0	9	81		0	5	6	58	95	0	10	0
Kenya	9880	133	6	248	10	660	128	42	126	25	135	512	0	6	30	137	118	77	192	177	20	177	383	589	100	1159	4	272		84	28	110	332	11	306	223	68	449	63	121	269	0	17	23	42	135	1085	0		107	19	201	618	7	91	
Kiribati	10	0	0	0	0		0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0
Korea, North	67	0	0	5	0	10	4	0	0	0	0	3	0	0	0		0	0	0	7	0	0			0	0	0	0	0	0	0	0	6	0	9		0	0	0	0		0	0		0			0	0		0	11		0	0	0
Korea, South	25859	245	71	181	46	8729	242	172	44	19	549	1350	94	264	19	954	138	75	84	89	73	12	866	452	410	143	28	164	13	25	193	39	2024	39	2294	424	16	254	88	205	517		26	87	10	193	1293		19	76	12	1446	919	25	100	6
Kuwait	1124	7	0	15	3	164	11		0		69	44	0	0		79	13	9	19	4	25		25	18	57	7	3	9		0	8		50	0	124	26	0	60	12	10	16		0	3	0	21	126	0	0	7	0	42	25	0	3	0
Kyrgyzstan	574	3	8	7		70	6	7	0	3	25	5	0	4	0	21	4			5	5		5	17	5	22		5			7	6	21		100	3		18		19	33		0	6	0	4	17		0	5		24	53		8	
Laos	1688	4	27	7	34	351	20	20	0	0	43	40	0	16		28		30	26		15	0	3	22	32	324	0	4	0	10	18	4	6		13	44	0	32	6	24	21	0	22	9		57	86	0	0	11		27	70	0	172	0
Latvia	444			3	0	70	4	11	0		37	19	0	0	0	33	6	0			0	0	13	14	4	6	0		0	3		0	29		72	7	0	9	3	4	10	0	0				17	0	0		0	9	34		10	0
Lebanon	3831	19	0	65	9	730	24	41	7	9	209	57	0	0	3	83	20	18	14	14	20	5	45	247	829	37	4	16	0	11	38	18	156	0	219	42	8	162	20	21	74	6	21	21	3	24	251	0	0	7		141	47		10	
Lesotho	14	0	0		0		0	0	0	0		0	0	0	0	0	0		0	0	0	0			0		0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0
Liberia	7641	19		195		153	85	68	84	16	144	342	0	0	8	125	82	118	15	72	18		441	292	118	1013	0	130		22	23	43	510	6	500	266	43	144	20	36	1277	0	284	33	52	63	403	0	0	34	5	209	57		66	0
