Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Albania	3364	0	8	25	5	47		232		5	291	12	0	0	7	188	11	4	4		0	6	22	404	424	6	0	25		0	11	11	200		911	15	0	54		8	211	0	0	14	0	15	65		0	9	3	40	19	0	38	
Algeria	1369	3	0	4	0	188	32	13		6	58	22	0		0	90	12	4	24	3	25		21	103	27	10		6	0		4	6	85	0	211	36	0	50	0		145	0	5	4	0		75	0	0		0	55	19	0	10	0
Andorra		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	187		0	3	0	8			0	0	11	4	0	0	0		3	3		0	4	0	3	48		0	0	0	0	0		0	9	0	16	15	0			3	12	0	4	0	0	0	23	0	0	0	0	7	0	0	0	0
Anguilla	23		0	0	0	0		0	0		4	0	0	0	0		0	0	0	0	0	0	0	0		0	0	4	0	0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Antigua-Barbuda	337		0		0	5	0	5			54	13	0		0	0		0	0		0	0	3	5		0	0		0	0	0	0	20	0	151		0	3	0	0	7	0	3	0	0		9	0	37	0	0	6	0	0		0
Argentina	4359	9	7	26	9	523	37	73	3	16	1582	105		8	8	77	10	12	7	12	22		58	64	30	21		22	6	8	34		213	5	419	58		28	7	18	69	29	5	22	0	29	309		0	110	4	158	40	4	32	
Armenia	2681			5		1977	11	9			44	8	0			25	6		4	6	6		19	60	18	4	0	6	0		35		47	3	178	10	0	19		7	21	0	5	6	0	5	21	0	0	20		18	58	0	0	0
Aruba	54	0	0	0	0		0	0		0	20		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	5	0	9		0	3	0	0	0		0	0	0	0	3	0	4	0	0	0	0	0	0	0
Australia	2414	5	6	46	6	622	80	33	5	13	118	43	0	46	5	68	11	9	15	10	9	9	30	64	45	16	4	26		7	37	12	67	8	328	43		35	8	43	44		6	16	5	29	147	0		34		57	108	3	22	3
Austria	407	3		5	0	87	5	4		5	35	19	0	4		12	3	0				0	12	19	8	4		0			3	0	9		61	4	0	6	0	3	14		0	6	0		21	0		3		14	18		3	0
Azerbaijan	663					161	7	7	0		19	9	0	0		27	0	0	0	4			21	25	7	4	0	5	0		7		28		139	7		18			34	0		0	0	6	60	0	0	6		15	21			0
Bahamas	619	9	0	3	4	22	0	8			369	46	0	0	0	5			0				5	8	4				0		0	0	7	0	35	20	0				9	0	0	4	0	7	19	0	0	0	0	9		0		0
Bahrain	104		0	0	0	14		3	0	0	6	3	0		0	13		0		0	0	0		3	6	0	0		0	0		0	6	0	9		0		4		4	0	0	0	0	0	9	0	0	0	0	5		0		0
Bangladesh	14705	68	4	47	7	812	49	203	49	16	647	382	0	5	0	131	24	14	43	5	34		284	240	892	68		41	0	4	53	9	1022	13	7519	70	6	59	40	21	411	0	3	13		56	682		6	4		572	45	7	15	
Barbados	460	0	0		0	8		6	0		53	17	0		0	5	3			17		0	18	21	3	0	0	0	0	0			15		235	5	0	3		0	9	0	0		0	0	10	0	5	0	0	8				0
Belarus	1659			15		238	33	27	11	5	111	24	0			82	8			7	3	4	37	96	13	47	0	7	0	5	16	6	110	9	402	22	0	23	4	14	86	0	3	9	0	4	31		0	6	3	44	65	0	18	
Belgium	574		0	5	0	101	16	6		9	49	21	3		0	19	3	0			6	0	25	18	8	5	0	3	0		8		23	3	90	9	0	12		6	21		0	4		3	46	0	0			26	6			0
Belize	847		0	4		278	3	6			76	9	0	0		85					16		3	7	3	5	0	3	0	0	13	0	17		164	9	0	7	0		8	0	0	3		5	80	0	0	4		10	9	0		0
Benin	415	3	0		5	13	21	3	0	3	4	14	0	0	0	66	20	4		0		0	47	3	6	18	0		0	12	0	3	11	0	61	11	0	8	0		22	0	0		0	4	16	0	0		0	16	7	0	3	0
Bermuda	85	4	0	0	4	3	0	3	0	0	5	11	0	0	0	0	0	0	0	0	0		6	5	0	0	0		0	0	0	0	7	0	8	3	0	3	0	0	10	0			0	0	3	0	0	0	0			0	0	0
Bhutan	10198	0	24	370	0	144	511	45	0		69	618	0	0	128	302	8	43	73	247		0	319	342	229	130	0	100	0	142	26	326	48	28	902	408	181	498	0	95	1423	0	54	6	163	204	914	0	0	165	172	384	296	0	55	0
Bolivia	1948	5		12	3	160	15	7		16	312	16	0	0		28	4			3	9	0	124	31	4	11	7	15		0	13		71		97	19		13	7	4	19	7	66	7	0		102	0	0	24	0	679	13		5	
Bosnia-Herzegovina	815		0	25	0	51	18	20	0	3	46	36	0	0	13	74	13	30	0	19	4	0	4	23	31	14	0	49	0	3	11		14	0	75	7	4	20	0	13	41		0	3	3	12	48	0	0	12	8	32	23		8	0
Botswana	80		0	4	0	4			0	0	5		0	0	0			0		0	0	0	5	6	3	7	0	0	0		0	0	5	0	8	4	0		0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0
Brazil	11441	43	12	85	12	1162	82	405	10	33	2560	510		48	8	174	51	27	27	31	54	11	223	1740	88	49	14	51	8	10	85	82	908	18	936	162	8	87	33	46	199	7	53	74	5	62	521	0		160	10	228	166	12	41	6
British Virgin Islands	39	0			0		0	0	0	0	3		0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0		0	8	0	0	0	0	0	0	3	0	0	0	0	3	0	13	0	0	0	0	0	0	0
Brunei	19	0	0	0	0	5	0	0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0		0	0		0
Bulgaria	2440	10	16	41		232	48	35	11	15	188	68	0	6	0	446	15	12	6	5	12	13	71	164	40	22		19		4	110	9	78	4	241	40		36	8	17	65	6	9	18	7	12	61	0		11		87	86		20	6
Burkina Faso	558	4	0			9	9	6	0	9	5	41	0	0	0	25		0				0	46	8	7	7			0	10	0	0	35		207	7	0	9			30	0	0	0		0	37	0	0	0	0	12	5	3	11	0
Burma	17383	6	4	321	35	1129	404	81	17		451	943	0	19	89	408	1413	614	347	432	75	4	520	186	501	844	5	237		435	16	7	141	5	1697	738	6	230	350	194	408	0	17	96	135	236	2602	0	0	198	15	156	342	7	264	0
Burundi	535	0	0	30	0	29	8		0	0	4	18	0	0		8		21	0	19	0	15	15	8	7	6	0	8	0	3	5	12	5	6	56	5	11	22		6	24	0	6	3	10	20	105	0	0	3		19	9			0
Cambodia	2473	3		33	7	742	26	36	0		75	45	0			46	6	8	16	19	5	26	17	307	12	128	6	7	0		11	8	14		40	35	3	45	4	33	122	0	29	11		13	227	0	0	22		67	195	0	10	
Cameroon	3815	32	5	56	21	182	38	17	44	72	47	193	0	0		109	23	8	21	32	33	0	1218	165	58	131	3	22		20	15	8	79	8	153	48	9	122	67	9	75	0	0	31		20	410	0	0	4		146	26	9	17	
Canada	12932	61	56	388	32	2038	292	153	13	36	1112	348		103	59	360	152	61	54	55	61	73	194	386	520	185	24	116	54	44	162	67	407	36	1249	288	49	221	93	172	338	5	28	114	22	131	1142			159	43	223	821	15	91	21
Cape Verde	1684	0	0	0	0		0	31	0		18	3	0	0	0	0	0	0	0	0	0			1272	0	0	0		0	0	0	3	8	0	12		0	0	0	0	5	0	314	0	0	0	0	0	0	0	0	6		0	0	0
Cayman Islands	44		0	0	0		0	0	0	0	18		0	0	0	0	0	0		0	0	0	0	0	0	4	0	0	0	0	0	0		0	8	0	0	0	0	0	0	0	0	0		0	4	0	0	0	0		0	0	0	0
Central African Republic	116	0	0	7	0		3	0	0	10	0	10	0	0			0		0		0	4	8	5			0	3	0	0	0	0	3	0	6	6	0	5		7	9	0	0	0	0	0	10	0	0	7	0			0	0	0
Chad	155	0	0	4	0	9	6	0	0	0	0	6	0	0	0		16		0	0	0	0	9	0		0	0		0	4	0	0	12	0	19	9	0	0	0	3	8	0	0	0	11		19	0	0	0	0	7	4	0	0	0
Chile	1673	6	3	40	5	189	26	24	11	6	382	32	0	4	6	45	7	4	4	10	10		39	33	8	11		4		5	18	4	107	5	201	43		16		8	21	18	0	13	0	8	103		0	82		52	32	4	13	
China, People's Republic	81784	299	49	676	169	22424	637	609	132	126	1755	1087	126	764	108	2324	537	247	300	299	349	82	1563	3064	952	603	134	510	52	116	719	147	2166	132	24956	1044	43	1039	253	672	1854	89	140	280	45	539	3203	3	65	273	69	1385	2017	64	467	27
Colombia	20931	73	22	116	21	1163	97	448	31	39	7160	644	0	16	16	400	70	25	40	31	73	6	278	594	66	91	19	76	10	21	100	60	2228	29	3069	445	9	106	66	36	323	164	182	211		102	1380		9	97	8	414	154	9	73	5
Comoros	10	0	0	0	0		0	0	0	0		0	0	0	0		0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Congo, Democratic Republic	3731	11		136		108	213	54	4	5	26	171	0		53	281	61	123	7	138	12	63	147	82	85	39		32	0	7	19	37	16	11	273	239	42	89	9	73	71	0	5	5	33	56	643	0	0	28	36	90	57	3	29	3
Congo, Republic	1461	3		39	0	73	46	22	3	4	14	80	0	0		219	20	38		20		10	65	27	24	12	0	16	0	12	5	9	12	8	116	140	3	33	5	15	23	0	0		7	12	221	0	0	10	12	30	41		3	0
Costa Rica	2020	9		22	8	156	25	35		4	374	58	0	3	4	29	8		8	3	17		30	30	11	11		3	3	3	18		456	3	189	129	0	25	3	15	50	10	3	37	5	25	107	0	0	6	0	42	26	0	7	
Cote d'Ivoire	1760	6		25		75	19	10	5	9	30	114	0	0	0	35	23	19		14	5	0	150	49	16	41		11	0	12		6	83	0	512	70	4	33	7		87	0	25	9	6	18	111	0	0	5		61	30	3	11	0
Croatia	336	0		6	0	61	3	4	0		33		0			21	6	8	0	0			7	5	6			3	0	0	11	3	13	0	47	8	0	14		0	10	0	0		0	7	19	0	0			9	6	0	6	
Cuba	32820	34		226	9	350	62	37	5	7	26422	271	0			118	18	14	58	570	113	4	30	47	107	23	17	112	0	162	685	4	742	82	396	233	0	24	38	86	125	87	3	25	14	122	1043		0	29		162	72		24	0
Cyprus	107	0	0		0	10		0	0	0	9		0	0	0	3	3			3		0	3	4		0	0	0	0	3		0		0	23	6	0	3	0	0	6	0	0	0	0		6	0	0	0	0	6	4	0		0
Czech Republic	677	5	3	7	4	107	17	8	0	10	113	33	0	3		67	3	4		5		0	6	18	8	0		8	0	0	5	5	22		54	22	0	16	0	5	15			7		11	31	0	0		0	14	17	0	9	
Czechoslovakia, former	159	0	0		0	19	3	0	0	0	29	4	0		0	20	0		0			0	4	5	3	0	3			0		0	8		19					3	3	0	0		0	4	5	0	0		0		3	0		
Denmark	459	0				123	7	6		4	31	16	0			12	4	0	3			0	14	8		6	0	3		0			25		72	16		5	0	3	8	0			0	4	26	0	0	4		6	25	0	3	
Djibouti	106	0	0	3	0	10	3	0	0	0			0	0	0		0		0	0	0	14		5	0	27	0		0	0	0	0	0	0		0	0	8	0		0	0		0	0	0	5	0	0	0	4	4	10	0	0	0
Dominica	125	0	0				0	0	0		15	4	0	0	0		0	0	0	0	0	0	6	3			0	0	0	0	0	0	8	0	33		0	0	0	0	3	0	0	0	0	0	3	0	39		0	0	0	0	0	0
Dominican Republic	41566	17	91	33	5	171	33	694	61	54	3067	230	0	8		112	85	5	10	15	125	8	329	3502	107	41	22	29	5	12	52	175	6114	15	19920	253	8	130	13	16	1984	2133	1003	48		39	220		285	23	5	157	32	11	51	3
East Timor		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecuador	9342	16	8	43		392	21	463	9	16	1140	87	0	6	9	289	11	14	14	12	20		122	132	29	103	10	10		6	36	19	1658	13	3669	207		42	10	5	141	26	36	40	0	15	205		4	43		125	27	6	22	
Egypt	8988	24		48	4	1328	24	106	37	15	373	109	0	10	0	224	65	17	20	25	48	3	149	293	137	87	11	38		10	23	19	1571	4	1727	180		153	13	44	408		10	37	8	521	380		0	9	5	509	123	4	27	0
El Salvador	16256	22	18	79	150	5026	125	56	15	221	563	297	0	3	8	120	90	87	69	27	44	8	1258	600	35	71	8	55	3	79	278	9	497	12	1770	319	3	53	25	51	76	8	42	27	8	65	2051	0		98	0	1561	134	9	19	
Equatorial Guinea	20	0	0	0	0		0	0	0	0		4	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	3	0	0	0		0	0	3	0	0	0	0	0	0
Eritrea	2643	8		70	0	305	111	4	0	68	35	163	0	0	8	64	25	84	17	13	4		173	50	23	68	0	44		5	64	0	17	0	108	77	3	75	28	36	62	0	14		79	34	277		0	22	0	171	210	5	11	0
Estonia	227		0		0	30	5	4	0	0	44	3	0	3	0	12				0		0	4		5	3	0	0	0	0		0	11		39	6	0	7	0	3	6	0			0		7	0	0		0	8	10	0		0
Ethiopia	14544	50	26	220	16	1290	703	55	6	530	239	791	0		33	268	142	121	140	121	36	33	1399	360	131	1033	10	137	24	51	509	9	77	6	375	302	29	386	67	191	256	0	28	34	193	311	1106			97	6	1409	1017	29	130	5
Fiji	853	0		7	0	681		0	0		6	0		16	0			0	0	0	0	0	0		0	0		0	0	0	9	0			11		0	0		25	3	0		0	0	0	8		0	4	0		60	0	3	0
Finland	348	0		3	0	112		3	0	4	36	5	0	0	0	8		0	3			0	6	18	9		4	3	0	0	4		4		34	6	0		0		4			3	3	0	32	0	0		0	12	11	0		
France	3862	9	0	35	15	830	37	59	5	46	421	106		13	14	117	24	13	7	14	15	9	100	134	48	33	3	25	8		34	6	150	7	757	38	5	39	10	34	101	6	16	25		12	220	0	6	11	12	66	124	4	33	
French Polynesia	30	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	3	0	0		0		0	0	0	0	0	0	0	0			0	0		0	0	0
Gabon	197	3		12	0	11	5		0	0	6	15	0				0		0	0		0	14	3		3	0		0	4		0			34		0		3	0	11	0	14		0	0	31	0	0	3	0				0	0
Gambia	1159	6	13	8		20	15	3		3	16	120	0	0	0	13		6	10	32			61	20	27	34		6	0	5			6	3	295	51	0	51	3	6	27	0	14	4	0	29	53	0		4	0	21	116		45	0
Georgia	1341	5	0		0	147	12	20		9	39	14	0	3	3	34			0	6			22	14	11	5					6	4	169		619	8		18		6	73	0		3		4	24	0	0	5		24	13		0	0
Germany	5812	78	11	101	20	939	110	88	15	36	542	194	0	44	19	190	41	25	31	44	37	14	114	164	196	65	9	59	13	16	50	9	182	37	702	170	5	102	38	60	171	10	18	80	6	63	394	7	5	36	5	162	212	7	57	9
Ghana	10592	24	11	62	10	271	179	263	65	32	152	513	0	6	10	373	55	23	23	46	22	8	819	662	76	166	6	58		17	29	14	924	8	2565	212	11	645	62	27	337		63	26	8	101	408	0	0	33	10	997	101	9	40	6
Gibraltar		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Greece	1054	3	0	10	3	115	4	27	4	8	73	12	0	3	0	77	11		4	3	3		28	93	17		0	6	0	0	6	10	58		250	10	0	26	3	7	43		5	14	0	5	43		0			36	14	0	7	0
Greenland		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grenada	671		0	0	0	7		8			39	6	0	0	0	0			0			0	29	8	3		0		0	0		3	21	0	480	5	0			0		0			0	4	19	0	9	0	0	3	5	0		0
Guatemala	10341	134	7	145	55	3447	85	135	38	26	792	346	0	3	16	329	55	67	81	45	34	5	254	401	72	63	18	52		212	160	6	440	16	579	152		39	46	146	86	12	293	51	45	113	630			81	0	367	120	0	32	4
Guinea	1656	13	0	10		25	4	11	12	6	16	91	0	0	0	29	32	7		5		0	113	30	13	46	0	5	0	0	4		42	0	790	25	4	78	0	0	96	0	7		3	21	41	0	0	6	0	31	27		4	0
Guinea-Bissau	47		0	0			0	0	0	0		3	0	0	3	0	0	0	0	0	0	0		13		0	0	0	0	0	0	0		0	6	0	0	0	0			0	7	0	0	0	0	0	0	0	0			0		0
Guyana	5683			10		32		76	16	11	413	147	0	0	0	15		3	0	3	6		162	33	9	53		5	0	4		0	465	0	3969	20	0	24	3	0	69		3	10	0	10	49	0	9	0	4	28	7		0	0
Haiti	22818	17	4	43	9	107	28	499	149	8	11860	320	0	4	6	126	58	13	15	42	55	12	251	1912	40	43	8	50	3	6	17	11	1787		4038	89	8	48	11	32	464	7	70	11	3	58	107		161	15	5	121	41	7	16	0
Honduras	6884	23	4	41	42	777	52	67	14	37	1341	178	0	3	10	123	68	35	39	20	295	4	181	158	53	44	27	60		24	73	9	384	15	819	211	0	41	23	30	55	8	18	44		82	894		0	35		314	59	4	41	0
Hong Kong	2104	3	0	14		896	12	17	0	4	42	15		23	4	59	15	5			5	0	37	89	16	10	3	14	0		12		67		394	16	0	23		13	34		4			6	82	0	3	12		36	95	0	7	0
Hungary	1054	6	4	15		164	19	24	0	4	195	21	0	5		25	4	4		7	4	3	18	20	17	7	3	7	0	0	17	9	65	4	167	17		20	3	6	32	0	0	8	0	9	51	0			0	35	20	3		0
Iceland	103		0	6	0	17	0		0	0	17	5		0	0			0		0		0	6	5	0		0		0	0	0	0	0	0	20		0	0				0	0	0	0	0		0	0	0	0	4		4	0	0
India	66434	330	18	978	320	13951	483	1143	298	46	1937	2234	0	24	91	4477	710	292	306	298	228	48	1611	1966	1653	798	139	597	21	149	232	188	7623	90	4621	1476	36	1534	259	457	2317		109	334	22	573	5844		6	159	36	2473	2180	66	632	15
Indonesia	2603	9	5	29	16	950	56	10		12	71	90	3	13	5	64	14	5	9		8	5	64	41	23	21		19	3		34	39	88	5	226	21		35	17	30	136			7		19	174			8	0	78	101	4	16	6
Iran	12916	26	4	223	13	6591	105	62		40	360	311		8	25	268	51	23	42	54	40	7	451	231	123	56	14	69		30	138	17	188	24	387	121	6	106	89	103	153		18	28	6	94	1160	0	0	75	0	567	361	16	23	4
Iraq	20369	56	9	929	14	3926	301	131	6	21	402	322	0		129	1180	132	104	51	349	80	146	233	624	3007	240	7	300	0	232	91	94	146	45	707	316	70	413	59	212	432	0	24	41	34	608	2278		0	158	3	927	595	21	159	
Ireland	1514	7	0	17		241	12	41		5	75	23	0	5	3	77	6			8	3		27	149	16	7	3	7	3	6	11	11	68	3	385	22		15		9	41		9	11	0	7	71	0	0			29	58	4	6	0
Israel	4153	11		37	8	925	41	16	4	15	442	86	0	17	5	128	14	11	27	14	18		94	121	43	16		33		5	79	3	286	11	902	40	0	72	9	24	136	6		19		18	179	0		5	4	48	152		18	0
Italy	2673	11		30		436	27	50	4	24	386	40		13	5	81	13	8	4	3	5	7	46	118	47	21	4	21			28	5	122	7	515	65	0	50	6	16	105	13	13	12	0	15	140	0		9	3	70	53	4	10	0
Jamaica	20705	56		56	13	264	67	1096	86	70	5420	951	0	7	6	179	43	10	11	17	57	37	670	593	75	30	59	70		9	33	34	1178	8	7600	206	8	126	16	15	619		34	129	0	44	282	0	21	5	14	262	44	22	44	5
Japan	6061	45	9	63	12	1832	61	48	7	18	200	114	41	486	19	206	68	26	22	23	23	5	68	153	156	50	12	45		11	57	6	187	12	696	64	4	120	23	94	96		9	23	7	48	281	4	33	34	11	121	253	10	31	9
Jordan	4099	25	0	47	11	559	27	29		11	230	68	0	0	4	539	45	11	35	40	92	11	47	82	207	46	16	35		12	13	3	270	15	321	97		257	23	19	105	15	4	27		99	302	0	6	14	0	165	41	5	63	0
Kazakhstan	1202	4	3	12		175	29	7		5	72	14	0		5	36	5	4	6	4	4	4	27	37	19	15	4	11		0	14	0	63		263	29		22		11	59	0	4	3	5	10	78		0	3		63	55	0	7	0
Kenya	7043	143	10	122	9	437	182	35	134	11	86	319	0		20	81	99	76	151	48	22	127	313	484	96	750	7	192	6	46	30	36	286	16	241	214	35	262	42	44	193	0	6	25	27	78	832	0	0	25	10	146	416	9	59	
Kiribati	6	0	0		0		0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Korea, North	49	0	0		0	9	3	0	0	0		4	0	0	0		0	0	0		0	0		0		0	0	0	0	0		0	3	0	3	0	0		0		0	0	0	0	0	5	3	0	0	4	0			0	0	0
Korea, South	20846	325	50	209	36	6621	210	120	85	36	376	1337	62	215	20	700	103	67	64	58	44	15	773	339	306	125	29	94	10	26	132	18	1666	44	1907	302	3	185	48	129	490	0	11	61	14	174	1213	11	42	60	3	1096	669	8	90	15
Kosovo	782	0	3	19	3	17		43	0	0	27	15	0	0	4	43	0	8		5	0	0	4	23	38	7	0	4	0		4		35	4	340	10		5	8		25	0				9	40	0	0	4		7	7	0	6	0
Kuwait	1044	14		18	0	133	4	5			44	23	0	0	3	71	16	6	5	12	17	5	20	24	65	13	5	15	0		4		44	4	87	29	0	36	7	8	33	0		3	5	33	135	0	3	13	0	44	22		7	0
Kyrgyzstan	648	4				66	7	5		5	40	4	0	0	3	33		0			8		15	31	3	5		12			7		16	0	140	8		19	4	29	25			3	0	11	29		0	3		32	57	0	3	0
Laos	949	6	26	4	13	239	11	8	0	0	22	12	0	10	0	25		23	18	0	11			19	11	164		8	3	3	4				6	26	0	12	11	9	16	0	8		0	22	52	0	0	12	0	20	23	0	81	0
Latvia	436		0	4	0	54	9	12	3		37	28	0			27	4	0			0		13	18	4	3		12	0		0	0	14		82	5	0	15	3	5	20	0	0	4	0	3	10	0	0	4	0	11	11		9	0
Lebanon	2879	15	0	44	4	503	20	23		6	167	48	0		7	60	8	4	15	13	9		37	226	545	35	5	13	4	4	22	8	67	6	210	30	5	109	18	23	68		17	21	4	43	244	0	0	4		89	41	12	14	
Lesotho	17	0	0	0			0	0	0	0	0	0	0	0	0	0			0		0	0		0	0	0	0	0	0	0	0	0			4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0
Liberia	4109			75	3	100	36	35	51	12	43	204	0			48	48	82	5	26	7		275	159	55	526	0	38	6	5	12	5	358	0	265	137	27	100	7	18	779	0	137	9	30	34	189	0	0	15	0	101	24		13	0
Libya	315	0	0		0	47	18	9	7		15	5	0	0	0	9	4				3	0	6	6	10	7		7	0		0		11	0	16	9	0	13		6	15	0	0	4	0		36	0	0	0	0	17	14		3	0
Lithuania	924	0		3		62	10	21		3	79	22	0	6	6	332	4	0					21	23	15	9	0	4	0	0	6	0	64	3	87	9		5		11	23					15	19	0	0	3	0	17	13		9	0
Luxembourg	19	0	0	0	0		0	0	0	0	3	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0		0	0		0	0		0	0		0	0	0
Macau	120	0	0	0	0	57	0	0	0	0	0		0		0	7		0	0	0	0	0		6	0		0	0	0	0	0	0		0	28		0	0	0	0	0	0	0	0	0	0	3	0	0		0		3	0		0
Macedonia	906		16	11		24	3	48	0	5	60	6	0			137	41	4	0	0			5	9	30	3	0	4	0	0	6	3	176		157	10	0	32	4	4	20	0		3	0	3	16	0	0		0	13	4		34	
Madagascar	79	0	0	0	0	12			0		3	6	0		0		0	0	0			0	15			0	0	3	0	0	0	0	0	0	8		0	3	0	0	0	0	0	0	0	0		0	0	0		11		0		0
Malawi	192			5	0	13	0		0	5	3	14	0	0	0	6	21		0			3	14		11			7	0	0	0		6	0	9	8	0	3		0		0	0				23	0	0	3	0	9	7	0	0	0
