Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Albania,5754,3,,36,6,58,15,378,7,13,464,13,0,0,6,337,11,5,0,7,,13,34,640,781,5,7,68,0,,59,24,318,3,1580,24,0,161,6,5,405,,9,19,,19,95,0,0,6,,34,13,0,59,0
Algeria,1037,4,,9,0,157,9,18,,6,40,19,0,3,0,59,15,4,13,8,27,,19,80,24,14,0,,,,,4,44,0,149,21,,44,,,86,0,3,,,4,64,0,0,,0,58,7,,6,
American Samoa,14,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,3,0,0,0
Andorra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,221,0,0,3,0,11,,,0,3,11,4,0,0,0,3,,0,,,0,0,8,67,0,,0,0,0,0,0,,7,0,7,10,0,0,,,4,,9,,0,0,46,0,0,3,0,11,0,0,,0
Anguilla,22,0,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Antigua-Barbuda,444,,0,0,0,4,0,10,,0,76,12,0,,0,,,0,0,0,,0,15,14,0,3,0,0,0,0,0,0,27,0,183,5,0,,,0,15,,,0,0,0,7,0,56,0,0,,0,,0,0
Argentina,5353,8,5,42,13,642,55,64,13,30,2046,94,0,24,11,87,28,7,6,15,17,3,111,96,22,40,,21,,5,48,6,260,11,514,65,,54,14,17,83,77,9,26,0,23,299,0,3,82,4,192,26,3,28,0
Armenia,3586,,0,9,,2772,27,6,0,4,54,11,0,0,0,20,3,0,0,6,,,31,83,19,5,,,0,3,47,5,66,,181,5,0,29,7,13,20,0,6,4,0,5,46,0,0,9,0,27,36,,15,0
Aruba,36,0,0,0,0,3,0,0,0,0,15,0,0,0,0,,,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,6,0,0,0,0,0,,0,0,,0,0,,0,,0,0,0,,0,0,0
Australia,2464,15,8,33,8,526,74,49,9,17,109,70,5,27,9,75,30,12,22,11,12,4,43,63,44,38,3,23,9,3,28,5,73,6,305,41,4,43,14,29,55,,7,10,,30,183,0,,45,5,77,117,4,22,6
Austria,443,,,7,0,82,9,5,0,3,38,11,0,3,,17,6,,,,,,12,11,9,3,0,3,0,0,,3,14,4,85,15,0,10,0,4,16,0,,4,0,4,20,0,,,0,10,13,0,5,0
Azerbaijan,1071,0,0,14,,333,10,4,,,46,18,0,0,7,20,7,8,,4,6,4,33,19,19,8,,11,0,6,9,,21,0,221,9,0,17,,18,25,0,,,0,,64,0,0,13,,27,44,3,8,
Bahamas,682,8,,,,5,,8,0,,409,65,0,0,,6,5,,0,0,4,0,16,7,11,,,3,0,4,0,,9,0,38,9,0,6,3,0,10,0,0,6,0,,20,0,,,0,6,,3,0,0
Bahrain,96,,0,4,0,19,,3,,0,,3,0,0,0,6,0,0,,0,0,0,0,,,,0,,0,0,0,3,6,0,16,0,0,,0,0,3,0,0,3,0,0,12,0,0,0,0,,,0,0,0
Bangladesh,11753,41,6,59,23,736,14,190,29,17,537,340,0,4,7,166,29,6,34,24,20,6,255,172,495,64,11,36,0,17,34,5,784,6,5744,31,,109,46,20,344,4,9,12,5,49,663,0,8,,0,480,46,3,10,0
Barbados,585,0,0,,0,10,0,3,,,73,21,0,0,0,3,,,0,,0,0,16,25,,4,0,,0,0,,,37,0,323,0,0,6,0,0,16,0,0,,0,,18,0,,0,0,10,,,0,0
Belarus,2390,4,,23,,335,63,53,15,5,130,42,0,3,7,158,13,,4,4,3,,47,127,32,74,,11,0,,7,4,162,,479,46,0,43,,31,105,0,8,19,,13,52,0,0,6,,81,122,0,39,6
Belgium,642,6,0,7,,108,7,14,4,9,55,28,0,,,18,13,,,,6,0,15,33,6,,,0,0,3,,3,33,4,80,10,0,15,,5,24,,4,8,0,11,51,0,0,4,,17,15,0,6,0
Belize,1077,8,0,9,3,410,7,3,0,,78,10,0,,0,119,4,3,,5,6,0,7,5,6,,,4,0,,12,0,25,,183,12,,,,5,7,0,,,0,10,90,0,0,0,,15,9,,,0
Benin,317,0,0,4,0,6,5,3,0,,5,22,0,0,0,35,18,,0,0,0,3,44,16,7,7,,,0,18,3,0,9,0,30,9,,4,,0,21,0,,7,0,,5,0,0,,,19,3,0,0,0
Bermuda,92,3,0,,,4,0,,0,,12,5,0,0,0,,0,0,,0,0,0,4,3,0,0,0,0,0,0,,0,7,0,7,9,,,0,0,7,0,,4,0,0,4,0,0,,0,10,,0,0,0
Bhutan,42,0,0,0,0,6,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,,0,,0,5,0,0,,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,4,,0,0,0
Bolivia,2436,,,6,5,170,14,19,0,13,357,17,0,0,,40,7,0,7,,6,,200,50,10,12,,7,0,,11,0,78,8,165,10,0,17,7,7,18,4,69,9,0,3,85,0,0,32,0,921,13,6,22,0
Bosnia-Herzegovina,1491,4,,42,,85,25,28,0,3,129,83,0,3,29,96,22,56,7,45,6,,13,22,49,27,0,173,,9,21,15,29,,119,17,19,42,0,7,36,,0,3,10,22,54,0,0,30,13,33,35,0,21,0
Botswana,41,,0,0,0,4,,,0,,3,5,0,0,0,0,0,0,,0,,,,,3,0,0,,0,0,0,0,0,0,,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0
Brazil,12195,76,10,116,21,1451,106,379,15,31,2783,457,0,78,17,196,70,17,62,28,47,8,198,2065,129,54,23,54,,26,56,91,872,12,926,120,6,106,19,34,178,18,54,62,,57,491,0,0,155,15,215,137,8,42,0
British Virgin Islands,53,0,0,0,0,0,0,,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,,,0,,0
Brunei,18,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Bulgaria,2960,7,8,65,6,379,51,44,12,7,230,120,0,9,8,521,23,5,16,6,12,8,79,129,60,15,,66,,4,115,11,119,3,237,41,5,31,19,10,66,3,8,33,,12,92,0,0,14,5,111,102,0,27,
Burkina Faso,238,,0,7,,10,4,4,0,,3,6,0,0,0,5,,0,0,,,0,20,,,6,0,,0,4,,,24,,73,4,0,10,,,13,0,,0,0,,10,0,0,0,0,5,6,0,3,0
Burma,3403,7,,50,,887,12,20,,4,164,65,,15,,63,225,6,10,16,0,4,258,37,73,166,3,10,,26,16,4,60,5,536,83,0,54,16,18,24,0,4,29,8,47,198,0,0,16,,96,43,,15,0
Burundi,255,0,0,35,0,14,,3,0,0,5,25,0,0,,4,4,8,4,6,0,,16,0,3,3,0,,0,0,0,3,3,0,39,,0,7,,,5,0,6,0,0,,46,0,0,,0,,3,0,0,0
Cambodia,3713,5,6,37,10,1144,55,47,0,0,105,93,0,9,6,50,28,15,20,42,17,30,45,428,25,189,,16,0,4,22,12,26,4,46,64,,76,6,58,205,0,76,32,5,20,242,0,,28,0,89,248,7,13,3
Cameroon,3771,20,8,30,16,179,26,22,43,72,75,222,0,0,,116,11,7,27,15,6,3,1351,175,65,166,4,21,0,12,9,13,56,4,155,37,8,112,36,6,66,0,,14,0,8,326,0,,,,176,9,8,28,
Canada,15109,93,42,423,26,2259,293,189,32,22,1340,362,0,102,80,467,212,92,85,82,69,93,254,530,752,213,24,106,62,42,154,123,531,54,1326,361,46,321,74,210,385,5,43,117,31,157,1181,0,11,137,56,366,885,28,128,33
Cape Verde,1916,0,0,0,0,,0,30,0,0,44,0,0,,0,,0,0,0,0,0,,5,1485,0,0,0,0,0,,0,0,15,0,20,0,0,0,0,0,4,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,37,0,0,0,0,,0,,0,,17,,0,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,4,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Central African Republic,88,0,0,0,0,3,,0,0,0,,6,0,0,0,,,0,0,,0,0,19,0,3,0,0,0,0,0,0,0,,0,13,5,0,4,0,0,4,0,0,0,0,,11,0,0,0,0,4,6,0,0,0
Chad,96,,0,,0,,,,0,,3,0,0,0,0,,19,,0,0,0,0,8,0,0,0,0,,0,0,0,0,8,0,16,,0,,0,3,7,0,0,0,0,,7,0,0,,0,,4,0,0,0
Chile,2017,5,0,26,,252,15,39,6,13,590,65,0,8,3,32,14,9,12,17,7,0,59,45,13,16,,7,,7,12,3,108,7,200,29,,9,6,18,37,21,3,5,0,9,85,0,,77,,60,44,0,13,4
China,80271,300,90,627,163,21925,637,782,138,84,1690,1170,141,795,149,2313,649,199,259,260,240,84,1626,2771,1047,586,121,578,45,112,743,159,2631,130,23981,789,56,1038,242,734,2124,78,115,276,41,499,3131,0,35,238,43,1345,1758,73,398,
Colombia,30213,87,22,152,33,1442,128,494,40,32,13481,1072,,14,29,483,98,22,60,74,86,8,413,760,102,100,26,82,15,46,119,62,2752,30,3546,573,4,160,44,33,407,205,198,247,6,123,1423,,,131,,503,121,7,109,3
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
Congo DR,1261,4,,23,0,80,55,37,,,14,61,0,0,,59,12,26,0,20,3,23,108,57,24,17,,7,0,,0,26,7,,76,147,0,20,0,10,24,0,4,0,3,9,183,,0,17,8,65,15,0,6,
Congo R,950,4,0,21,0,39,15,7,,,21,62,0,0,3,47,6,,,24,,8,63,38,17,15,,10,0,4,4,6,12,0,65,118,0,16,3,9,21,0,0,0,6,24,175,0,0,5,6,38,21,0,7,
Costa Rica,2090,6,,21,5,186,15,30,,,486,61,0,0,5,36,11,5,9,5,15,5,43,21,11,17,4,5,,11,13,8,412,11,167,82,0,17,6,7,65,11,3,37,0,18,114,,0,14,0,42,20,0,22,
Cote d'Ivoire,1645,3,,38,0,72,26,13,8,12,25,85,0,,0,37,18,4,,9,3,,186,45,29,50,0,9,0,9,5,3,90,0,454,34,4,41,3,7,63,0,16,4,3,22,98,0,0,9,6,54,25,,15,0
Croatia,455,,0,7,,47,7,,,,27,10,0,0,,39,17,8,4,,3,,11,21,17,,0,6,3,4,5,4,23,,62,8,0,14,0,3,9,,,5,,3,35,0,0,,,6,5,,18,0
Cuba,49500,33,7,435,8,576,36,72,8,5,40946,351,0,3,4,171,30,7,9,909,144,5,47,62,237,24,16,70,0,23,952,3,1004,155,602,184,,36,10,202,223,182,6,34,5,158,1120,0,0,50,,269,49,0,14,
Cyprus,141,0,0,5,0,17,3,,0,0,13,,0,0,,5,,0,,0,,0,4,4,3,0,0,,0,,,0,9,,36,,0,,0,0,,0,,0,0,3,7,0,0,,0,10,3,0,0,0
Czech Republic,227,,,,,45,5,7,,5,25,4,0,,,15,,,,,0,,3,3,,,0,3,0,,,0,6,0,29,0,0,8,0,,9,0,0,0,,,8,0,0,4,0,7,17,0,,0
Czechoslovakia,862,12,4,13,4,100,20,16,3,,158,43,0,,,65,6,,5,5,3,4,23,24,16,6,4,11,,,6,5,39,0,78,13,0,17,7,4,14,0,3,12,0,14,26,0,,6,3,28,22,0,6,
Denmark,498,0,,,,110,9,10,0,,39,18,0,3,,14,6,,,,4,,12,21,4,3,,4,3,,,,19,0,48,14,0,6,,11,18,0,0,,,8,40,0,0,,0,11,37,0,0,
Djibouti,39,0,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,0,0,6,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,,3,3,0,0,0,0,,10,0,0,0
Dominica,454,,,,0,11,,4,0,,58,17,0,0,0,3,,0,0,3,,0,9,6,3,0,0,,0,,0,0,25,,138,5,0,,,,5,,0,0,0,0,16,,118,0,0,9,4,0,0,0
Dominican Republic,31879,13,47,53,6,112,20,434,52,29,2779,230,0,8,6,120,44,9,11,13,64,10,297,2434,110,31,10,26,,5,35,124,4159,4,15563,183,,123,13,5,1184,2016,768,39,,17,186,4,232,25,3,138,24,,53,
East Timor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ecuador,11663,11,9,39,3,495,35,330,17,11,1704,110,0,3,4,405,20,14,15,16,28,,126,121,18,117,8,14,4,9,38,9,2065,6,4829,169,0,47,13,22,185,12,23,27,,23,263,,0,67,,124,24,4,19,
Egypt,8712,24,3,66,4,1292,25,72,26,19,407,108,0,4,9,202,42,30,22,34,27,18,154,248,209,105,12,18,,38,39,36,1587,7,1378,160,11,161,16,43,356,,17,66,,622,309,,,4,8,527,107,11,21,
El Salvador,19659,23,20,183,203,6837,139,76,14,263,629,474,0,,8,124,65,58,70,25,23,3,1595,515,22,71,12,47,,88,433,14,660,13,1915,319,0,33,37,48,95,17,46,29,8,86,2190,0,0,114,,1810,149,13,36,
Equatorial Guinea,16,0,0,0,0,4,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0
Eritrea,1270,,,19,3,259,50,4,4,32,21,57,0,0,6,42,29,,3,,6,0,101,21,11,54,0,20,0,4,24,0,6,0,31,31,0,53,,10,17,0,5,0,19,13,104,0,0,12,0,91,101,0,0,0
Estonia,287,,0,,,43,4,8,0,,60,3,0,,0,11,7,,,,,,12,4,,6,0,4,0,0,,0,5,0,34,4,0,6,,,10,0,0,5,,0,9,0,0,,0,15,10,,3,0
Ethiopia,12917,16,10,144,8,1275,561,59,12,432,196,861,,7,32,286,96,33,98,62,22,42,1420,310,177,1199,10,143,18,55,344,20,107,19,283,216,7,335,35,168,230,0,6,18,105,230,937,,3,62,5,1320,768,14,91,6
Falkland Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fiji,1176,6,,13,0,922,6,,,0,5,3,0,9,0,,0,0,6,0,,0,,0,,3,0,3,,0,12,0,10,0,3,,0,3,0,48,,0,,0,0,0,10,0,0,5,0,,93,0,0,
Finland,302,,,8,,48,0,3,0,,47,12,0,0,0,8,0,4,,,4,,5,10,7,11,0,,0,0,,6,8,,30,11,0,3,,,,0,,,0,,37,0,0,,0,4,8,0,4,0
France,4872,15,,47,4,1213,47,66,7,43,405,102,0,28,12,157,26,15,15,13,25,6,133,214,64,47,,21,4,6,35,17,186,13,855,70,,57,8,42,134,3,23,25,,30,289,,4,18,9,119,148,5,37,3
French Guiana,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0
French Polynesia,26,0,0,0,0,5,,0,0,0,0,0,,8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
Gabon,82,4,0,,0,5,,3,0,0,,9,0,0,0,4,0,0,0,0,0,0,16,,,0,0,,0,,0,0,5,0,10,,0,3,0,0,,0,0,0,0,0,5,0,0,0,0,,,0,0,0
Gambia,739,0,6,7,,12,4,3,0,,3,105,0,0,,4,,4,7,28,0,0,66,9,20,18,3,,0,,,0,11,0,189,28,,21,,,14,0,18,4,,11,23,0,0,,0,16,65,,19,0
Georgia,1620,4,4,15,,239,16,20,3,6,45,57,0,0,14,48,3,5,5,16,,0,24,25,10,12,0,16,,,9,0,148,0,572,10,,23,,18,108,0,3,11,0,,21,0,0,7,4,39,37,,12,0
Germany,7091,78,18,132,20,1190,134,103,16,48,643,232,,53,11,225,77,49,47,55,45,19,160,208,215,78,20,58,19,24,45,34,219,41,796,205,11,145,43,77,248,14,25,134,,72,448,,5,32,12,235,157,24,72,14
Ghana,8195,10,4,43,10,240,108,163,75,16,120,533,0,4,9,342,31,17,15,47,14,9,703,489,64,133,18,38,,16,28,5,714,6,1871,182,5,497,40,13,241,0,50,24,,55,315,0,5,23,8,740,55,3,41,0
Gibraltar,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,769,0,0,8,,92,6,15,0,3,60,9,0,,,52,9,,,,9,,26,64,24,3,0,,,,11,9,52,0,167,8,0,7,0,3,34,,3,6,0,5,30,0,0,0,0,18,11,3,5,0
Greenland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,784,,0,,0,6,0,4,0,5,39,15,0,,0,,,0,0,,,,31,11,0,0,0,,0,0,,0,30,0,549,5,0,0,,0,9,,0,5,0,,20,0,16,0,3,12,3,0,,0
Guadeloupe,33,0,0,0,0,,0,0,0,0,7,,0,,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,,0,9,0,0,0,0,0,0,,0,0,0,0,,0,5,0,0,0,,0,0,0
Guatemala,16182,204,17,258,58,4866,181,209,61,54,1037,495,,15,20,668,210,90,98,188,102,14,468,496,224,209,35,163,10,161,255,27,589,57,997,271,7,296,65,204,330,10,316,96,42,178,707,,0,135,13,528,239,26,177,
Guinea,1735,15,0,13,0,25,13,24,9,9,15,97,0,,0,43,36,4,3,13,0,0,108,41,23,45,,5,0,,,,29,,808,20,4,57,0,3,80,0,11,,0,48,38,0,0,10,,51,16,0,8,0
Guinea-Bissau,17,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0
Guyana,6823,,0,5,,65,4,91,31,18,718,144,,,0,29,3,9,,,7,,156,35,18,115,0,16,0,,,,567,,4529,47,0,22,,,47,,5,11,0,9,41,,5,,3,32,10,,7,
Haiti,26007,8,5,25,4,97,17,500,130,9,14682,357,0,4,7,114,65,11,15,40,47,3,285,1944,37,33,7,31,7,23,14,19,1861,,4608,59,,37,4,28,421,5,88,20,0,31,69,0,75,23,,86,30,,12,3
Honduras,6540,23,16,57,28,796,48,59,8,18,1493,168,,,7,141,55,21,31,25,229,3,176,127,19,41,22,27,0,24,64,6,352,8,806,133,0,43,20,26,55,11,18,43,6,64,755,4,0,19,,339,46,7,48,
Hong Kong,3373,,,21,7,1443,20,17,,,74,29,5,82,4,88,13,10,11,6,11,,53,164,45,12,,12,0,,25,6,93,10,586,22,0,24,8,45,43,16,3,6,0,4,145,0,0,8,,29,153,,5,
Hungary,1127,4,3,19,4,166,28,25,,,210,21,,6,,32,13,3,,7,7,,17,38,21,4,3,13,,0,20,3,77,,183,18,0,32,,3,26,,,7,0,8,33,0,0,,,30,16,0,6,0
Iceland,122,,0,0,0,18,3,,0,,18,0,0,,0,3,,,0,0,0,,,5,,0,0,,0,0,0,12,4,0,11,3,0,0,,,,0,,0,0,0,12,0,0,0,4,0,9,0,0,0
India,63352,299,14,611,130,14112,393,896,244,80,1785,2085,,22,41,4114,628,183,305,260,256,44,1642,1787,1741,609,201,433,6,145,210,133,8083,79,5561,1002,22,1169,242,413,2272,,91,324,25,709,4811,0,11,120,51,2561,1813,44,516,20
Indonesia,3606,12,,44,20,1421,96,21,6,13,70,103,,22,7,59,22,,10,7,17,3,80,32,31,24,5,25,0,,39,84,82,,349,56,,52,29,30,201,0,3,6,,21,216,,0,13,,85,145,4,22,4
Iran,13852,53,10,308,21,6472,157,87,10,27,461,343,,7,28,353,74,34,76,50,39,16,493,245,148,87,17,91,3,16,117,22,207,29,520,128,3,182,96,126,145,,10,23,0,112,1215,0,0,81,,651,352,20,79,3
Iraq,4795,30,,215,10,896,65,33,,17,110,76,0,,7,295,21,8,15,44,20,14,58,37,1348,40,10,79,3,52,28,9,57,20,140,63,4,78,18,44,85,3,7,18,12,118,227,0,0,36,0,230,71,5,9,5
Ireland,1465,0,,19,0,219,16,39,6,8,85,20,0,3,4,94,7,7,6,21,,7,29,158,14,9,3,6,5,0,3,7,52,3,281,22,,13,,26,58,4,5,7,,9,78,0,0,5,5,38,36,6,14,
Israel,5851,11,,71,11,1514,47,31,5,8,528,149,0,16,,177,25,14,26,12,18,3,112,249,68,34,6,31,,4,70,14,444,8,1244,77,,81,9,22,138,0,14,15,,34,257,0,,17,,70,109,5,43,0
Italy,2514,17,,23,5,415,23,39,9,23,327,48,0,16,6,110,21,9,4,8,11,,64,93,48,19,3,13,,,16,6,124,5,499,46,,40,4,20,84,8,12,11,,7,103,,,18,,88,40,,15,0
Jamaica,18477,30,10,37,,275,45,939,73,52,5307,887,0,4,,173,36,9,8,14,33,32,540,465,101,51,44,84,,0,23,33,1125,,6615,156,,88,13,14,506,,19,94,,35,207,0,12,11,9,183,26,9,37,
Japan,6821,38,7,87,14,2041,85,62,4,21,212,118,38,465,30,241,71,30,28,62,27,11,135,152,140,49,14,53,17,28,67,19,210,21,864,111,5,135,18,121,108,,6,23,5,60,259,,3,54,4,158,237,10,36,3
Jordan,3936,37,,48,14,621,27,43,6,5,225,46,0,4,,522,53,4,23,47,53,3,57,53,213,28,5,50,,10,12,7,261,5,297,100,,261,16,17,71,7,14,15,,73,315,0,10,13,0,120,68,5,44,0
Kazakhstan,1630,10,3,23,4,224,27,21,5,6,109,40,0,5,6,60,13,7,8,22,7,6,34,68,22,30,,24,3,3,8,6,72,6,261,34,,45,6,42,66,0,3,14,,19,70,0,0,21,3,75,65,,17,
Kenya,6998,56,5,182,7,610,78,35,76,12,127,374,0,,42,89,113,46,149,123,15,166,289,479,128,610,10,210,,54,44,83,275,15,233,165,13,333,36,66,204,0,9,25,7,92,648,0,,57,30,165,340,9,58,0
Kiribati,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Korea,26666,236,62,302,47,9315,293,186,71,23,509,1063,120,266,57,1109,168,94,114,83,65,18,893,400,443,261,31,189,15,31,159,50,2186,33,2290,359,12,234,63,219,621,4,32,70,21,190,1267,5,9,62,21,1416,729,24,114,12
Kuwait,1104,13,,13,4,168,8,14,5,,75,45,0,,,75,9,4,6,12,11,4,24,23,62,11,6,6,,0,5,0,59,,74,29,,59,7,4,18,,3,5,0,24,135,0,,4,0,34,14,3,16,0
Kyrgyzstan,632,,3,6,4,81,7,5,0,,23,10,0,,6,36,4,3,,11,3,0,18,15,8,10,,6,,3,3,4,31,0,100,10,,25,0,12,38,0,,8,0,12,9,0,0,3,,32,59,0,10,
Laos,2198,6,34,6,28,614,12,17,0,,24,45,0,13,0,34,4,29,26,,9,,8,28,25,522,,,0,5,12,5,4,0,21,51,0,16,8,11,14,0,22,3,,26,74,0,0,12,,23,34,0,361,
