,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Algeria,894,,0,11,,138,19,7,0,0,44,8,0,,0,59,15,6,3,,6,0,29,90,12,15,,3,0,0,7,6,78,,89,13,0,28,3,5,62,,3,,0,5,38,0,0,3,0,54,10,0,8,0,5
American Samoa,178,0,8,,0,45,,0,0,0,0,0,0,49,0,0,0,0,,0,,0,,0,0,0,,,0,0,,0,,0,3,5,0,0,0,4,0,0,0,0,0,0,5,,,13,0,5,24,0,0,0,3
Andorra,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,161,0,,0,0,19,0,9,0,0,15,,0,0,0,,,0,0,0,0,0,3,46,0,0,0,0,0,0,3,0,22,0,5,0,0,,0,,5,0,16,0,0,,5,0,0,0,0,4,0,0,0,0,0
Anguilla,47,0,0,0,0,3,0,0,0,0,9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,8,0,0,0,0,0,,0,0,0,0,0,,0,16,0,0,3,0,0,0,0,0
Antigua-Barbuda,661,4,,,0,18,,8,,,118,38,0,0,0,,0,0,0,,,0,20,16,,3,,0,0,0,,0,52,0,233,9,0,6,,0,13,,0,4,0,,23,,54,0,0,10,,,,0,10
Argentina,4170,6,4,47,,915,30,47,6,9,1436,59,0,15,4,58,14,7,11,8,4,,77,78,32,15,,13,,5,52,7,239,6,303,22,0,18,,15,52,37,3,19,,17,230,3,0,67,,102,24,3,12,,30
Armenia,2195,,0,13,,1829,12,7,0,0,15,0,0,0,0,5,,,,,,0,14,52,13,,0,,,0,42,0,36,,59,0,0,6,0,9,11,0,9,0,0,,10,0,0,3,0,12,16,0,6,0,2
Aruba,55,,0,0,0,,0,,0,0,15,4,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,15,0,0,0,0,0,0,,0,0,0,0,7,0,4,0,0,,,0,0,0,0
Australia,1636,,6,36,4,431,91,18,,4,89,25,0,33,11,39,19,8,10,8,9,4,34,51,32,22,4,18,6,4,25,6,46,12,126,22,,28,7,28,29,0,3,13,,18,110,4,0,27,,52,35,3,7,3,9
Austria,357,0,,13,0,77,17,3,,0,38,6,0,7,0,10,,,0,3,,,7,9,6,4,,3,0,0,15,,12,5,32,6,0,6,0,5,7,0,4,3,,,15,0,,,,13,4,,3,,3
Azerbaijan,834,,,9,0,198,8,7,,0,28,10,0,0,,31,,0,3,3,,,29,16,23,3,,14,,,,,32,0,220,4,0,22,3,8,26,0,,0,,,33,0,0,8,0,7,59,0,7,0,4
Bahamas,838,5,,3,,20,0,,,,583,57,0,,0,6,,0,0,3,,0,10,,7,,,3,0,0,3,0,26,0,23,9,0,4,4,,9,0,,,0,5,18,0,0,,0,14,0,0,0,0,3
Bahrain,85,,0,0,,19,0,0,0,0,,,0,0,0,5,0,0,0,0,0,0,5,,,,0,,0,0,0,0,7,0,8,,,,0,,5,0,0,,0,0,13,0,0,0,0,6,,0,0,0,0
Bangladesh,5345,13,,65,9,417,15,86,7,9,310,174,0,,4,77,20,20,32,14,4,0,176,99,313,66,6,27,0,,24,5,484,3,1734,25,,33,33,17,172,0,3,7,,30,386,,,,0,350,22,3,9,0,29
Barbados,1203,,0,,,20,7,25,4,,139,38,0,0,0,18,6,0,,,,0,34,116,5,3,0,,0,,,,68,,585,10,,,,,45,0,,,0,5,25,,5,0,0,10,3,0,,0,4
Belarus,1767,0,4,10,3,293,50,27,4,,66,29,,0,8,123,11,5,3,13,0,0,41,67,19,59,4,11,6,6,5,3,99,,363,25,,44,8,25,99,,3,14,3,6,22,,0,3,,43,102,0,19,0,11
Belgium,716,3,0,15,3,148,18,13,5,,77,33,,,,26,,,0,,3,,21,29,20,11,0,15,0,0,7,,31,,69,6,0,19,4,11,22,0,3,10,,,34,4,0,,,19,10,,0,0,4
Belize,1291,,0,9,0,569,6,,,,134,18,,,,96,3,0,3,4,4,,17,11,4,3,,6,0,0,19,0,28,,177,9,0,4,5,4,8,,,,0,9,93,3,,4,0,12,4,0,3,0,6
Benin,79,0,0,3,0,4,,0,0,0,4,0,0,0,0,6,,,0,,,0,17,,5,0,0,0,0,,0,0,3,0,9,,0,,0,,6,0,0,0,0,,4,0,,0,0,4,0,0,0,0,0
Bermuda,75,0,0,0,0,5,,,0,,15,5,0,0,0,,0,,0,0,0,0,,10,,0,0,0,0,0,0,0,10,0,4,,0,0,0,0,,0,,3,0,,3,0,0,0,0,3,0,0,0,0,1
Bhutan,9,0,0,0,0,0,,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Bolivia,2807,3,7,17,3,351,24,12,0,22,376,23,,,,40,4,4,4,6,3,,203,44,6,6,4,4,0,4,12,8,106,5,158,7,0,10,4,4,14,5,38,4,0,9,122,,0,24,0,1040,11,5,11,,31
Bosnia-Herzegovina,8176,19,,406,0,311,128,81,,4,570,375,0,3,159,566,146,545,27,364,16,24,58,113,381,121,4,682,,66,122,80,110,4,485,94,75,302,,101,228,0,9,5,51,97,247,3,0,251,83,199,218,0,149,0,86
Botswana,18,0,0,0,0,,,,0,,,,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
Brazil,8808,14,5,82,11,1146,77,191,11,15,2356,203,,34,4,141,34,13,23,20,18,12,178,1295,74,36,8,24,5,11,67,55,772,10,527,86,,57,24,35,96,10,44,49,4,54,427,4,,114,6,162,68,9,32,,49
British Virgin Islands,67,0,0,0,0,3,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,14,,0,0,0,,,0,0,0,0,0,,0,16,0,0,,0,0,0,0,2
Brunei,25,0,0,0,0,9,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0
Bulgaria,3213,3,3,63,6,407,72,28,9,9,290,170,0,7,8,602,30,11,9,32,7,13,77,118,95,32,0,71,,,130,7,134,8,193,15,,42,5,18,93,0,4,34,4,19,98,0,0,15,0,103,70,3,29,,12
Burkina Faso,48,0,0,0,0,,,0,0,0,,,0,0,0,,0,,0,,,0,4,,,,0,0,0,0,,,7,,5,,0,,0,,4,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1
Burma,1383,,3,9,0,588,10,,0,0,48,18,0,12,0,31,72,,4,4,0,,80,21,10,17,,3,,3,9,,20,,167,16,,16,7,12,25,0,3,3,,,53,,,0,0,65,17,,8,0,10
Burundi,76,0,0,4,,4,,3,0,0,4,,0,0,0,0,,5,0,0,,0,,3,3,,0,0,0,,0,,3,0,8,0,0,0,0,3,,0,0,0,,3,11,,0,0,0,8,0,0,0,0,1
Cambodia,5869,26,4,66,,2041,65,49,3,,127,149,0,9,5,69,13,28,19,35,5,34,58,938,50,155,3,19,0,,18,13,35,,102,57,0,115,5,83,368,0,154,43,,35,310,0,0,39,,177,299,0,17,0,21
Cameroon,967,8,0,7,5,70,10,4,8,15,15,92,0,0,0,29,7,,9,12,3,,284,42,23,27,,9,0,5,6,,28,,29,11,0,29,7,,24,0,0,6,0,3,68,,0,,0,37,5,,8,0,10
Canada,12387,57,35,529,30,2003,305,173,25,23,1555,366,4,61,63,314,103,64,55,71,46,95,203,384,541,167,20,92,78,38,179,104,326,49,576,193,38,277,54,255,278,,31,129,18,129,855,8,,194,79,305,616,18,93,17,62
Cape Verde,1265,0,0,0,0,,,26,0,0,31,4,0,0,0,0,0,0,,0,0,0,10,847,,0,0,0,0,0,0,,14,0,7,3,0,0,0,0,3,0,302,0,0,0,,0,0,0,,4,,0,0,0,4
Cayman Islands,24,0,0,0,0,,,,0,0,12,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,0
Central African Republic,19,0,0,0,0,,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,,0,0,,0,3,0,0,0,0,0
Chad,22,0,0,0,0,,0,,0,0,,,0,0,0,,4,0,0,0,0,,,,0,,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
Chile,2851,3,,42,4,507,29,43,6,10,809,54,0,4,5,50,9,3,0,6,9,,97,81,22,11,,11,0,6,39,,198,10,276,18,0,14,3,30,39,15,6,15,,15,96,0,0,64,,104,44,0,7,,24
China,40017,96,11,384,45,14463,394,405,71,38,762,502,17,348,55,1556,208,85,146,102,79,40,1223,1715,752,296,62,295,18,68,332,75,1835,45,5867,317,14,583,91,586,1161,47,59,94,13,175,1831,20,8,124,27,1054,1023,44,189,13,154
Cocos Islands,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,22926,32,22,163,22,1349,108,422,18,19,9107,530,,20,8,396,59,22,55,34,56,9,300,527,56,52,20,45,6,30,111,38,3092,42,2719,278,7,99,46,31,358,160,239,202,,75,1123,21,3,79,,380,104,12,48,3,165
Comoros,6,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Congo DR,211,0,0,5,,12,5,,0,,8,18,0,,,14,3,3,,3,5,,14,6,4,,0,7,0,,0,3,,4,13,13,0,,,,3,0,0,3,,3,28,,0,3,,7,3,0,,0,0
Congo R,306,0,0,13,0,28,5,,0,0,19,20,0,0,3,11,,,0,11,,13,31,15,5,0,0,7,0,5,,0,10,0,13,14,0,,,3,5,0,0,0,0,4,33,3,0,3,3,12,3,0,,0,3
Cook Islands,6,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0
Costa Rica,2376,6,0,36,7,396,23,20,,,623,43,0,8,5,25,12,5,6,4,15,0,42,68,7,19,,4,0,3,31,,305,10,185,57,,16,13,14,39,19,,24,,21,154,,0,13,,46,19,0,7,0,12
Cote d'Ivoire,479,0,0,,0,37,10,7,4,3,7,30,0,,0,10,6,0,,,,0,68,15,13,7,0,0,0,0,3,,29,0,95,15,0,11,0,,37,0,3,,,3,19,,0,,0,20,7,,,0,3
Croatia,1251,,,77,6,129,24,,4,,111,29,0,3,16,94,44,28,5,8,4,5,22,23,35,12,,33,0,6,24,10,49,,80,20,3,104,,4,25,0,3,,10,7,46,0,0,20,0,44,18,0,41,0,15
Cuba,39871,12,3,120,8,653,25,44,5,5,34312,195,0,6,4,109,10,3,10,251,90,,44,84,94,12,9,35,,19,364,,1033,72,382,100,0,25,9,85,92,213,7,27,,56,432,6,0,14,0,109,34,,7,,635
Cyprus,160,0,0,12,0,22,,3,0,,13,0,0,0,0,6,0,,0,0,0,0,8,3,,0,0,,0,0,0,0,18,0,37,,0,5,0,0,4,0,,0,0,0,9,0,0,0,0,9,0,0,0,0,3
Czech Republic,192,0,0,6,,31,7,,0,0,30,4,0,4,,24,,0,,0,,0,3,,7,0,,6,0,,0,0,7,,9,,0,5,0,5,5,,0,,0,0,11,0,0,0,0,4,,0,0,0,3
Czechoslovakia,629,4,0,11,,127,27,10,,,93,16,,,6,29,5,0,0,5,3,,14,15,16,9,0,6,0,,7,,31,,34,11,0,8,3,9,16,0,,7,3,7,31,,0,10,0,18,15,0,5,0,2
Denmark,210,,,3,0,52,6,,,,26,5,0,,0,3,0,,0,0,0,0,4,3,4,,0,3,0,,4,,7,,13,0,0,,5,,5,0,,3,,4,15,0,,4,,4,6,0,5,0,1
Djibouti,25,0,0,,0,,0,0,0,0,0,3,0,0,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,0,0,0,,0,,0,0,0,0,3,0,0,0,0,0
Dominica,975,,4,3,,21,,15,4,0,200,34,0,,0,12,,0,0,,,,37,38,3,,0,0,0,0,4,0,77,,170,7,0,3,,0,8,3,,3,0,,47,0,218,,0,15,4,0,0,0,24
Dominican Republic,35251,8,36,48,,142,22,428,29,54,4366,215,,12,4,99,40,7,16,15,49,16,307,3794,93,22,3,25,,9,34,131,5711,4,14618,193,,153,5,8,1292,1600,863,27,,35,184,10,144,24,4,157,23,5,28,,132
East Timor,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,11908,7,3,73,9,785,35,304,7,8,1920,116,,8,7,428,23,20,31,16,22,,178,178,18,68,,18,,6,34,15,2562,15,3909,106,7,29,8,13,187,28,24,34,0,34,242,,0,58,5,185,25,,24,,64
Egypt,4165,9,3,39,7,626,18,39,5,16,246,52,0,0,,122,33,12,11,5,16,3,84,102,70,50,7,29,,5,28,10,881,8,492,63,,125,10,25,160,,18,28,,129,190,,,,,289,34,3,13,0,39
El Salvador,35796,26,22,348,255,17594,174,82,19,202,1141,394,,16,21,326,121,114,95,20,60,8,1896,823,28,78,7,61,0,111,706,9,1148,24,2433,285,0,53,34,130,115,23,42,48,9,77,3763,6,,166,0,2344,156,12,31,0,137
Equatorial Guinea,9,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1
Eritrea,694,0,0,9,0,147,22,,,8,15,41,0,0,0,10,12,,0,4,,,50,24,5,30,0,13,0,,15,0,5,0,17,6,0,26,,12,10,0,0,0,,7,49,0,0,,0,77,62,0,,0,5
Estonia,221,0,0,,0,41,3,3,0,0,24,6,0,0,,8,,,0,,,0,4,8,,5,0,0,3,,,0,10,0,19,,0,5,0,8,6,0,0,3,0,,5,,,,0,9,28,,0,,2
Ethiopia,7160,4,,70,,865,334,10,3,174,96,524,,0,,132,27,15,54,9,12,9,838,178,39,640,,67,0,14,243,,65,4,127,70,,206,17,98,147,0,0,7,56,142,556,,,16,,908,294,7,15,0,56
Fiji,1508,3,,10,0,1224,3,,0,0,4,5,0,11,0,3,0,0,,0,,0,,3,4,,0,0,,0,14,0,5,0,3,5,0,5,0,38,,0,0,,0,0,25,0,0,10,0,4,106,0,,0,5
Finland,549,,,19,,104,19,19,0,0,84,17,0,0,0,16,3,3,,0,0,0,11,24,8,16,0,,3,0,4,0,25,,32,7,0,5,,11,10,0,,5,0,,27,,0,5,0,25,22,0,8,,3
France,2765,6,3,54,4,745,50,29,,16,324,56,,14,6,62,22,6,11,9,14,5,87,87,32,37,,17,,4,37,18,130,8,246,27,,20,,34,82,6,11,29,0,12,154,,,16,12,129,42,,20,3,13
French Guiana,8,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,15,,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,1
Gabon,24,0,,0,0,4,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,4,,0,0,0,0,0,0,0,0,,0,3,,0,,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0
Gambia,330,,,5,0,12,,3,,,6,39,0,0,0,9,0,,3,6,0,,36,3,9,10,0,,0,,0,,4,0,53,8,0,16,0,,8,0,5,0,0,5,12,0,0,,0,8,35,0,12,0,4
Georgia,627,0,0,0,0,153,8,13,0,,20,9,0,0,,25,,0,,,0,,16,13,6,5,0,4,0,,7,,88,0,139,7,0,13,0,12,19,0,4,0,0,,7,0,0,,0,12,31,0,,0,3
Germany,4708,42,16,125,14,804,159,51,8,9,534,159,,40,18,156,38,19,23,44,13,23,120,107,114,33,6,60,12,12,51,23,209,26,248,73,,90,33,72,136,7,8,74,5,59,345,10,0,36,15,210,112,7,57,6,33
Ghana,4557,6,,20,8,157,87,93,21,11,70,212,0,3,0,180,11,9,8,17,6,4,443,306,31,68,5,16,0,4,12,6,513,6,779,82,0,277,34,10,97,,22,8,,36,217,8,0,14,3,548,31,7,13,,31
Gibraltar,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Greece,1314,7,0,11,0,145,7,32,4,,105,13,0,,,114,4,3,5,3,,4,52,114,35,9,0,8,,,7,5,113,4,201,32,0,54,,5,67,0,4,19,0,6,34,0,0,3,,40,20,,7,0,6
Grenada,850,0,0,3,,16,3,5,,4,95,13,0,,0,6,0,0,,,,0,27,15,0,,0,,0,0,,,47,0,518,9,0,,0,,15,0,0,8,,0,20,,10,0,0,13,,0,0,0,4
Guadeloupe,39,0,,0,0,3,0,0,0,0,11,0,0,0,0,,0,0,0,0,0,0,,3,0,,0,0,0,0,0,0,,0,6,0,0,0,0,0,,0,,0,0,0,,0,5,0,0,0,0,0,0,0,0
Guatemala,17087,17,6,252,55,8833,107,129,14,28,1160,176,,5,21,657,56,48,40,16,67,7,397,481,29,53,9,28,,99,308,9,636,34,831,80,,35,50,127,79,12,271,38,17,64,898,,0,134,,486,90,3,28,0,60
Guinea,225,0,0,,0,7,6,,0,3,4,22,0,0,0,,11,,0,0,0,0,20,11,5,3,0,,0,0,0,0,15,,34,4,0,11,0,,19,0,4,0,0,,6,,0,0,0,16,7,0,0,0,4
Guinea-Bissau,14,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guyana,8290,4,4,13,0,107,9,114,24,22,1232,266,0,5,0,26,5,,8,3,4,0,296,64,17,100,,6,0,5,9,,888,,4529,53,0,35,4,,136,3,4,12,0,14,87,6,3,,,85,9,3,9,0,56
Haiti,21229,8,3,29,,98,12,318,62,14,11675,515,,10,4,133,23,,8,17,39,3,251,1999,28,6,4,32,,,24,17,1595,3,3241,57,,33,0,7,441,6,56,30,,28,57,13,6,4,0,104,21,0,3,,181
Honduras,8794,19,,80,15,1383,54,54,5,13,2273,133,,7,5,168,49,31,21,14,365,,213,258,29,28,11,46,,30,74,3,602,7,1008,123,0,37,22,29,92,26,25,35,5,63,840,8,0,31,,285,49,3,29,0,86
Hong Kong,4940,5,6,51,,2409,22,22,9,5,117,48,9,77,,106,7,9,15,7,10,0,99,174,25,34,5,24,0,0,61,6,171,3,686,15,0,42,8,41,84,4,5,17,,9,185,0,0,15,,71,178,0,23,0,15
Hungary,1089,6,3,21,,221,15,24,,,212,18,0,6,,30,8,,0,5,,0,17,23,20,5,3,8,,,29,5,75,3,84,9,0,29,,12,41,,5,,3,10,44,,0,8,0,35,20,,12,0,6
Iceland,83,,0,,0,19,3,0,0,0,15,3,0,0,0,,0,0,,0,0,0,3,7,,0,0,0,0,0,0,0,4,0,,0,0,,,0,0,0,,0,,,5,0,0,0,0,5,4,,0,0,0
India,65971,227,12,768,202,14126,524,825,214,27,2123,1962,0,22,33,4914,590,235,372,289,157,35,1884,1650,2274,633,98,523,,154,186,197,9737,56,3488,730,11,1777,226,475,2782,4,47,372,21,607,4839,5,22,110,25,3488,1106,65,449,,267
Indonesia,1823,4,0,32,3,893,48,7,3,3,57,36,,5,3,38,5,,8,9,5,,42,27,20,12,,9,4,,21,4,42,4,66,11,0,26,11,34,50,0,4,,0,7,123,,,6,0,47,64,,12,,5
Iran,11813,30,,217,16,6330,122,56,10,17,287,256,0,12,13,213,32,14,51,50,29,6,524,153,117,53,4,93,,14,119,5,171,21,402,70,3,110,66,109,109,,13,21,,95,719,0,0,81,,644,222,12,32,,62
Iraq,5057,7,0,278,,709,81,21,0,3,101,107,0,0,15,320,27,10,13,66,11,3,25,81,1212,50,,127,0,205,33,19,37,18,94,9,5,72,9,54,70,,8,12,0,326,294,,0,63,,258,100,4,15,,77
Ireland,2179,5,,37,0,398,21,46,3,5,169,37,0,5,3,145,11,,4,19,7,5,35,238,17,11,,6,0,3,13,21,131,3,410,23,0,32,3,16,83,,13,13,0,8,62,0,0,6,3,53,27,,15,0,6
Israel,2933,10,5,53,6,684,21,20,,5,367,35,0,3,,101,14,4,11,8,8,,71,102,43,13,,30,0,,49,,252,8,495,25,,65,,17,60,,,21,,17,132,0,3,5,,65,25,0,11,0,52
Italy,2991,5,,60,8,474,23,85,7,5,311,45,,6,5,145,12,,8,,5,4,56,165,86,16,3,10,3,,19,6,324,,567,17,0,53,0,7,123,9,17,16,0,9,78,7,,14,,89,37,,19,,17
Jamaica,21324,17,6,40,8,372,35,885,85,61,7133,1096,5,26,,232,38,9,19,18,22,8,758,553,115,21,14,32,0,10,18,6,1606,4,6170,132,3,127,14,19,570,0,37,53,,41,312,15,12,3,9,310,31,10,40,0,159
Japan,2712,12,4,39,,1178,31,11,4,,76,33,14,234,,54,12,4,4,8,7,,38,36,29,12,0,12,,6,53,,131,7,231,18,0,30,7,45,32,0,3,15,,12,67,,,20,,63,82,3,9,,11
Jordan,2632,14,0,45,3,447,15,10,3,,163,26,0,5,,320,30,,11,27,44,,47,25,108,16,6,38,0,5,13,3,216,11,149,38,0,128,13,22,74,5,,14,,38,250,0,6,11,,132,21,0,34,0,36
Kazakhstan,908,,4,20,,158,29,8,0,3,36,14,0,0,0,30,4,,3,,0,5,19,41,6,18,,8,,0,,0,48,0,106,6,0,14,4,60,37,0,,6,4,,30,,0,8,,40,110,0,5,,5
Kenya,2218,20,4,32,8,253,21,10,26,8,111,140,0,,,58,26,20,64,8,5,,148,120,22,111,0,50,0,9,17,10,168,4,64,43,0,47,18,13,55,0,6,19,3,23,268,,0,7,,83,49,,16,3,17
Kiribati,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Korea,22759,54,57,170,17,8360,334,108,47,8,369,919,91,354,15,803,75,39,75,52,24,7,1076,235,271,57,14,74,9,20,226,15,1844,14,1621,186,4,140,50,215,649,,13,49,3,126,954,40,,47,4,1715,926,9,39,6,127
Kosovo,89,0,0,6,0,,4,,0,,,9,0,0,0,5,0,,0,,0,0,,0,7,0,0,,0,0,0,0,4,0,12,5,0,,0,4,3,0,0,0,,,10,0,0,0,0,5,0,0,0,0,1
Kuwait,1031,8,0,27,,182,8,3,,,82,20,0,3,,62,6,5,13,7,22,0,20,17,39,9,,12,0,,,4,55,,39,29,,51,7,13,19,,,8,,20,133,0,4,,0,57,7,,11,0,9
