Subject	Asia	Europe	Latin America	Africa	Northern America	Oceania	Total 
Foreign-born population	10,184,906	4,990,294	20,409,676	1,419,317	838,661	216,701	38,059,694
CITIZENSHIP AND PERIOD OF ENTRY							
Naturalized citizen	57.20%	60.30%	30.90%	40.60%	45.20%	35.00%	42.50%
Entered 2000 or later	3.30%	2.60%	1.90%	5.20%	1.10%	3.50%	2.50%
Entered 1990 to 1999	16.50%	13.80%	6.20%	16.50%	6.10%	8.00%	10.40%
Entered before 1990	37.40%	43.90%	22.80%	18.90%	38.00%	23.60%	29.70%
							
Not a citizen	42.80%	39.70%	69.10%	59.40%	54.80%	65.00%	57.50%
Entered 2000 or later	23.90%	16.60%	27.30%	38.00%	18.80%	31.70%	25.20%
Entered 1990 to 1999	12.60%	11.80%	24.30%	15.90%	15.80%	18.20%	19.00%
Entered before 1990	6.20%	11.30%	17.40%	5.40%	20.20%	15.10%	13.20%
							
SCHOOL ENROLLMENT							
Population 3 years and over enrolled in school	1,720,024	645,233	2,676,735	395,747	113,288	37,168	5,588,195
Nursery school, preschool	2.10%	2.30%	1.40%	1.40%	1.50%	1.90%	1.70%
Elementary school (grades K-8)	21.80%	27.50%	35.40%	21.00%	28.50%	34.80%	29.10%
High school (grades 9-12)	16.60%	19.50%	28.70%	16.90%	19.10%	22.00%	22.80%
College or graduate school	59.50%	50.70%	34.50%	60.60%	50.90%	41.30%	46.30%
							
EDUCATIONAL ATTAINMENT							
Population 25 years and over	8,725,486	4,376,220	16,490,508	1,102,313	733,352	175,096	31,603,114
Less than high school graduate	15.50%	16.90%	47.20%	11.20%	12.00%	13.50%	32.00%
High school graduate (includes equivalency)	18.40%	25.70%	26.70%	21.10%	20.90%	28.50%	24.00%
Some college or associate's degree	17.50%	21.90%	14.70%	25.30%	26.80%	25.80%	17.20%
Bachelor's degree	28.60%	18.20%	7.80%	24.70%	22.60%	19.50%	16.00%
Graduate or professional degree	20.00%	17.40%	3.60%	17.70%	17.70%	12.70%	10.90%
							
EMPLOYMENT STATUS							
Population 16 years and over	9,609,429	4,727,913	19,072,031	1,296,661	790,623	197,244	35,694,040
In labor force	64.90%	56.50%	70.30%	75.30%	57.80%	69.50%	66.90%
Civilian labor force	64.70%	56.40%	70.20%	75.10%	57.70%	69.10%	66.80%
Employed	61.60%	54.00%	66.00%	69.90%	55.50%	65.00%	63.10%
Unemployed	3.00%	2.40%	4.20%	5.20%	2.20%	4.10%	3.60%
Percent of civilian labor force	4.70%	4.30%	6.00%	7.00%	3.80%	5.90%	5.50%
Armed Forces	0.20%	0.10%	0.10%	0.20%	0.10%	0.40%	0.10%
Not in labor force	35.10%	43.50%	29.70%	24.70%	42.20%	30.50%	33.10%
							
OCCUPATION							
Management, professional, and related occupations	46.40%	42.80%	13.20%	36.70%	55.40%	38.60%	27.20%
Service occupations	16.10%	16.10%	28.30%	23.10%	9.90%	17.30%	23.10%
Sales and office occupations	22.10%	20.70%	14.90%	22.00%	22.50%	25.60%	18.00%
Construction, extraction, maintenance, and repair occupations	3.80%	9.10%	19.70%	4.00%	5.50%	7.60%	13.40%
Production, transportation, and material moving occupations	11.40%	11.00%	20.40%	14.00%	6.40%	10.50%	16.40%
							
EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS							
Population 16 years and over with earnings	4,045,961	1,700,845	8,915,619	593,809	289,942	84,836	15,631,012
$1 to $9,999 or loss	1.80%	1.50%	3.00%	1.70%	1.10%	1.90%	2.40%
$10,000 to $14,999	4.40%	2.90%	12.10%	5.60%	2.00%	4.30%	8.60%
$15,000 to $24,999	15.10%	12.50%	33.50%	19.90%	8.10%	17.40%	25.40%
$25,000 to $34,999	14.90%	16.10%	21.20%	20.40%	12.00%	14.00%	18.80%
$35,000 to $49,999	17.30%	19.50%	15.40%	19.80%	16.40%	17.90%	16.50%
$50,000 to $74,999	19.90%	20.80%	9.50%	16.70%	23.20%	18.20%	14.00%
$75,000 or more	26.60%	26.70%	5.30%	15.90%	37.10%	26.30%	14.20%
							
POVERTY STATUS IN THE PAST 12 MONTHS							
Population for whom poverty status is determined	10,046,268	4,908,416	20,132,364	1,396,137	819,320	211,890	37,514,475
Below 100 percent of the poverty level	11.70%	9.50%	19.20%	17.40%	7.40%	11.50%	15.60%
100 to 199 percent of the poverty level	15.40%	14.60%	31.50%	20.70%	11.10%	16.90%	24.10%
At or above 200 percent of the poverty level	72.90%	75.90%	49.30%	61.80%	81.50%	71.60%	60.40%
							
Occupied housing units	3,993,972	2,356,482	7,694,252	607,071	407,586	78,894	15,138,257
HOUSING TENURE							
Owner-occupied housing units	59.10%	68.10%	47.70%	42.10%	72.90%	56.40%	54.40%
Renter-occupied housing units	40.90%	31.90%	52.30%	57.90%	27.10%	43.60%	45.60%
							
Average household size of owner-occupied unit	3.46	2.55	4	3.55	2.44	3.26	3.49
Average household size of renter-occupied unit	2.67	2.07	3.55	2.73	1.86	3.05	3.11
							
SELECTED CHARACTERISTICS							
Linguistically isolated households	27.60%	19.70%	39.90%	18.00%	2.70%	6.10%	31.50%
